centigrade	攝氏的	計劃	忍受	廢除;廢止
plan/zip code	計劃	忍受	廢除;廢止	墮胎
abide	忍受	廢除;廢止	墮胎	突然的;意外的
abolish	廢除;廢止	墮胎	突然的;意外的	荒謬的
abortion	墮胎	突然的;意外的	荒謬的	大量的;充足的; 豐富的
abrupt	突然的;意外的	荒謬的	大量的;充足的; 豐富的	學院;大學;研究院
absurd	荒謬的	大量的;充足的; 豐富的	學院;大學;研究院	使習慣於
abundant	大量的;充足的; 豐富的	學院;大學;研究院	使習慣於	第一流的;突出的
academy	學院;大學;研究院	使習慣於	第一流的;突出的	承認
accustom	使習慣於	第一流的;突出的	承認	粉刺
ace	第一流的;突出的	承認	粉刺	艦隊司令; 海軍上將
acknowledge	承認	粉刺	艦隊司令; 海軍上將	青春期
acne	粉刺	艦隊司令; 海軍上將	青春期	青少年的;未成熟的
admiral	艦隊司令; 海軍上將	青春期	青少年的;未成熟的	崇拜;愛慕
adolescence	青春期	青少年的;未成熟的	崇拜;愛慕	成年(期)
adolescent	青少年的;未成熟的	崇拜;愛慕	成年(期)	刊登廣告者;廣告客戶
adore	崇拜;愛慕	成年(期)	刊登廣告者;廣告客戶	愛慕;鍾愛
adulthood	成年(期)	刊登廣告者;廣告客戶	愛慕;鍾愛	議程
advertiser	刊登廣告者;廣告客戶	愛慕;鍾愛	議程	極度痛苦
affection	愛慕;鍾愛	議程	極度痛苦	農業的
agenda	議程	極度痛苦	農業的	人工智慧
agony	極度痛苦	農業的	人工智慧	密閉的;無懈可擊的
agricultural	農業的	人工智慧	密閉的;無懈可擊的	風道;氣道;航空公司
AI/artificial intelligence	人工智慧	密閉的;無懈可擊的	風道;氣道;航空公司	通道;走道
airtight	密閉的;無懈可擊的	風道;氣道;航空公司	通道;走道	代數
airway	風道;氣道;航空公司	通道;走道	代數	外星人
aisle	通道;走道	代數	外星人	過敏的
algebra	代數	外星人	過敏的	過敏症
alien	外星人	過敏的	過敏症	鱷魚
allergic	過敏的	過敏症	鱷魚	使結盟;使聯姻  聯盟
allergy	過敏症	鱷魚	使結盟;使聯姻  聯盟	改變;修改
alligator	鱷魚	使結盟;使聯姻  聯盟	改變;修改	輪流的
ally	使結盟;使聯姻  聯盟	改變;修改	輪流的	高度;海拔
alter	改變;修改	輪流的	高度;海拔	大量的;充裕的
alternate	輪流的	高度;海拔	大量的;充裕的	拋錨;繫住
altitude	高度;海拔	大量的;充裕的	拋錨;繫住	頌歌
ample	大量的;充裕的	拋錨;繫住	頌歌	年代久遠的;古董的
anchor	拋錨;繫住	頌歌	年代久遠的;古董的	向...鼓掌;稱讚
anthem	頌歌	年代久遠的;古董的	向...鼓掌;稱讚	鼓掌歡迎,喝采
antique	年代久遠的;古董的	向...鼓掌;稱讚	鼓掌歡迎,喝采	易於...的
