terminal	終點的	大陽台	大腿	刺
terrace	大陽台	大腿	刺	使興奮;使激動;使毛骨悚然;顫抖
thigh	大腿	刺	使興奮;使激動;使毛骨悚然;顫抖	恐怖小說(或電影等)
thorn	刺	使興奮;使激動;使毛骨悚然;顫抖	恐怖小說(或電影等)	王座;神座;君權;帝王
thrill	使興奮;使激動;使毛骨悚然;顫抖	恐怖小說(或電影等)	王座;神座;君權;帝王	擠滿;湧入
thriller	恐怖小說(或電影等)	王座;神座;君權;帝王	擠滿;湧入	用力推;刺;插
throne	王座;神座;君權;帝王	擠滿;湧入	用力推;刺;插	發滴答聲;責備
throng	擠滿;湧入	用力推;刺;插	發滴答聲;責備	鋪砌瓦
thrust	用力推;刺;插	發滴答聲;責備	鋪砌瓦	使傾斜;使翹起;偏向
tick	發滴答聲;責備	鋪砌瓦	使傾斜;使翹起;偏向	把...裝罐
tile	鋪砌瓦	使傾斜;使翹起;偏向	把...裝罐	踮著腳
tilt	使傾斜;使翹起;偏向	把...裝罐	踮著腳	蟾蜍;令人討厭的人
tin	把...裝罐	踮著腳	蟾蜍;令人討厭的人	苦幹;艱難地行進
tiptoe	踮著腳	蟾蜍;令人討厭的人	苦幹;艱難地行進	標誌;象徵;代價券;籌碼
toad	蟾蜍;令人討厭的人	苦幹;艱難地行進	標誌;象徵;代價券;籌碼	火炬，手電筒
toil	苦幹;艱難地行進	標誌;象徵;代價券;籌碼	火炬，手電筒	折磨
token	標誌;象徵;代價券;籌碼	火炬，手電筒	折磨	洪流;(話語的)連發;(感情的)狂潮
torch	火炬，手電筒	折磨	洪流;(話語的)連發;(感情的)狂潮	拷打;拷問;折磨
torment	折磨	洪流;(話語的)連發;(感情的)狂潮	拷打;拷問;折磨	比賽;錦標賽
torrent	洪流;(話語的)連發;(感情的)狂潮	拷打;拷問;折磨	比賽;錦標賽	毒(性)的;有毒的
torture	拷打;拷問;折磨	比賽;錦標賽	毒(性)的;有毒的	商標
tournament	比賽;錦標賽	毒(性)的;有毒的	商標	叛徒;賣國賊;背叛者
toxic	毒(性)的;有毒的	商標	叛徒;賣國賊;背叛者	腳步沈重地行走;踐踏;流浪
trademark	商標	叛徒;賣國賊;背叛者	腳步沈重地行走;踐踏;流浪	踩;踐踏;蔑視
traitor	叛徒;賣國賊;背叛者	腳步沈重地行走;踐踏;流浪	踩;踐踏;蔑視	透明的
tramp	腳步沈重地行走;踐踏;流浪	踩;踐踏;蔑視	透明的	金庫;庫房;國庫;寶庫
trample	踩;踐踏;蔑視	透明的	金庫;庫房;國庫;寶庫	條約,協定
transparent	透明的	金庫;庫房;國庫;寶庫	條約,協定	挖溝;挖戰壕
treasury	金庫;庫房;國庫;寶庫	條約,協定	挖溝;挖戰壕	進貢;敬意;尊崇
treaty	條約,協定	挖溝;挖戰壕	進貢;敬意;尊崇	戲弄
trench	挖溝;挖戰壕	進貢;敬意;尊崇	戲弄	苗條的
tribute	進貢;敬意;尊崇	戲弄	苗條的	三倍的;三重的
trifle	戲弄	苗條的	三倍的;三重的	(馬等)小跑
trim	苗條的	三倍的;三重的	(馬等)小跑	鱒魚
triple	三倍的;三重的	(馬等)小跑	鱒魚	把...塞進;使有褶襉
trot	(馬等)小跑	鱒魚	把...塞進;使有褶襉	學費
trout	鱒魚	把...塞進;使有褶襉	學費	鮪魚
tuck	把...塞進;使有褶襉	學費	鮪魚	暴君
tuition	學費	鮪魚	暴君	仲裁
tuna	鮪魚	暴君	仲裁	大學生;大學肄業生
