lifelong	終身的	可能;可能性	萊姆	跛行
likelihood	可能;可能性	萊姆	跛行	繼續逗留;持續;磨蹭
lime	萊姆	跛行	繼續逗留;持續;磨蹭	(總稱)家畜
limp	跛行	繼續逗留;持續;磨蹭	(總稱)家畜	蜥蜴
linger	繼續逗留;持續;磨蹭	(總稱)家畜	蜥蜴	活動的;移動的;火車頭的
livestock	(總稱)家畜	蜥蜴	活動的;移動的;火車頭的	蝗蟲
lizard	蜥蜴	活動的;移動的;火車頭的	蝗蟲	租房間給...住;申訴;暫住;投宿
locomotive	活動的;移動的;火車頭的	蝗蟲	租房間給...住;申訴;暫住;投宿	高聳的;極高的;高傲的
locust	蝗蟲	租房間給...住;申訴;暫住;投宿	高聳的;極高的;高傲的	商標
lodge	租房間給...住;申訴;暫住;投宿	高聳的;極高的;高傲的	商標	寂寞的;孤單的;荒涼的
lofty	高聳的;極高的;高傲的	商標	寂寞的;孤單的;荒涼的	經度
logo	商標	寂寞的;孤單的;荒涼的	經度	獎券;彩票;抽籤;運氣
lonesome	寂寞的;孤單的;荒涼的	經度	獎券;彩票;抽籤;運氣	蓮花
longitude	經度	獎券;彩票;抽籤;運氣	蓮花	伐木;(英國)拖累
lottery	獎券;彩票;抽籤;運氣	蓮花	伐木;(英國)拖累	弄成一團;歸併到一起
lotus	蓮花	伐木;(英國)拖累	弄成一團;歸併到一起	放大;擴大;誇張
lumber	伐木;(英國)拖累	弄成一團;歸併到一起	放大;擴大;誇張	未婚的;少女的;初次的
lump	弄成一團;歸併到一起	放大;擴大;誇張	未婚的;少女的;初次的	大陸
magnify	放大;擴大;誇張	未婚的;少女的;初次的	大陸	(河的)主流;主要傾向
maiden	未婚的;少女的;初次的	大陸	(河的)主流;主要傾向	維持;維修;保養
mainland	大陸	(河的)主流;主要傾向	維持;維修;保養	雄偉的;威嚴的;崇高的
mainstream	(河的)主流;主要傾向	維持;維修;保養	雄偉的;威嚴的;崇高的	雄偉;壯麗;(帝王的)威嚴
maintenance	維持;維修;保養	雄偉的;威嚴的;崇高的	雄偉;壯麗;(帝王的)威嚴	哺乳動物
majestic	雄偉的;威嚴的;崇高的	雄偉;壯麗;(帝王的)威嚴	哺乳動物	顯然的;清楚的
majesty	雄偉;壯麗;(帝王的)威嚴	哺乳動物	顯然的;清楚的	大廈,大樓
mammal	哺乳動物	顯然的;清楚的	大廈,大樓	槭樹;楓樹
manifest	顯然的;清楚的	大廈,大樓	槭樹;楓樹	頁邊的;邊緣的;不重要的
mansion	大廈,大樓	槭樹;楓樹	頁邊的;邊緣的;不重要的	海的;海生的;海軍陸戰隊的
maple	槭樹;楓樹	頁邊的;邊緣的;不重要的	海的;海生的;海軍陸戰隊的	元帥;高級將官;典禮官
marginal	頁邊的;邊緣的;不重要的	海的;海生的;海軍陸戰隊的	元帥;高級將官;典禮官	戰爭的;軍事的;尚武的
marine	海的;海生的;海軍陸戰隊的	元帥;高級將官;典禮官	戰爭的;軍事的;尚武的	感到驚訝;感到好奇
marshal	元帥;高級將官;典禮官	戰爭的;軍事的;尚武的	感到驚訝;感到好奇	男性的;男子氣概的
martial	戰爭的;軍事的;尚武的	感到驚訝;感到好奇	男性的;男子氣概的	搗成泥
marvel	感到驚訝;感到好奇	男性的;男子氣概的	搗成泥	按摩
masculine	男性的;男子氣概的	搗成泥	按摩	厚實的;粗大的;大量的
mash	搗成泥	按摩	厚實的;粗大的;大量的	傑作,名作
massage	按摩	厚實的;粗大的;大量的	傑作,名作	蛋黃醬;美乃滋
massive	厚實的;粗大的;大量的	傑作,名作	蛋黃醬;美乃滋	同時
masterpiece	傑作,名作	蛋黃醬;美乃滋	同時	力學;機械學;技術;技巧
mayonnaise	蛋黃醬;美乃滋	同時	力學;機械學;技術;技巧	調停解決;傳達
