meantime	同時	力學;機械學;技術;技巧	調停解決;傳達	威脅;恐嚇
mechanics	力學;機械學;技術;技巧	調停解決;傳達	威脅;恐嚇	美人魚
mediate	調停解決;傳達	威脅;恐嚇	美人魚	在...之中
menace	威脅;恐嚇	美人魚	在...之中	移居(尤指移出國境)的;流浪的
mermaid	美人魚	在...之中	移居(尤指移出國境)的;流浪的	總英里數;(每單位燃料的)行駛哩數
midst	在...之中	移居(尤指移出國境)的;流浪的	總英里數;(每單位燃料的)行駛哩數	里程碑;劃時代的事件
migrant	移居(尤指移出國境)的;流浪的	總英里數;(每單位燃料的)行駛哩數	里程碑;劃時代的事件	使混合;使相混;交往
mileage	總英里數;(每單位燃料的)行駛哩數	里程碑;劃時代的事件	使混合;使相混;交往	最小的;極微的
milestone	里程碑;劃時代的事件	使混合;使相混;交往	最小的;極微的	薄荷;薄荷糖;造幣廠
mingle	使混合;使相混;交往	最小的;極微的	薄荷;薄荷糖;造幣廠	吝嗇鬼;守財奴
minimal	最小的;極微的	薄荷;薄荷糖;造幣廠	吝嗇鬼;守財奴	女主人,主婦
mint	薄荷;薄荷糖;造幣廠	吝嗇鬼;守財奴	女主人,主婦	呻吟;嗚咽;悲歎
miser	吝嗇鬼;守財奴	女主人,主婦	呻吟;嗚咽;悲歎	假的;假裝的;模擬的
mistress	女主人,主婦	呻吟;嗚咽;悲歎	假的;假裝的;模擬的	方式;型;模式
moan	呻吟;嗚咽;悲歎	假的;假裝的;模擬的	方式;型;模式	使現代化
mock	假的;假裝的;模擬的	方式;型;模式	使現代化	更改;修改
mode	方式;型;模式	使現代化	更改;修改	鑄造;塑造;發霉
modernize	使現代化	更改;修改	鑄造;塑造;發霉	分子;微小顆粒
modify	更改;修改	鑄造;塑造;發霉	分子;微小顆粒	君主
mold 	鑄造;塑造;發霉	分子;微小顆粒	君主	怪異的;駭人聽聞的;巨大的
molecule	分子;微小顆粒	君主	怪異的;駭人聽聞的;巨大的	會死的;凡人的;致命的;極度的
monarch	君主	怪異的;駭人聽聞的;巨大的	會死的;凡人的;致命的;極度的	以苔覆蓋;使長滿苔蘚
monstrous	怪異的;駭人聽聞的;巨大的	會死的;凡人的;致命的;極度的	以苔覆蓋;使長滿苔蘚	母性;(總稱)母親們
mortal	會死的;凡人的;致命的;極度的	以苔覆蓋;使長滿苔蘚	母性;(總稱)母親們	動機;主旨
moss	以苔覆蓋;使長滿苔蘚	母性;(總稱)母親們	動機;主旨	築牆防衛;堆起; 積成堆
motherhood	母性;(總稱)母親們	動機;主旨	築牆防衛;堆起; 積成堆	登上
motive	動機;主旨	築牆防衛;堆起; 積成堆	登上	哀痛;哀悼
mound	築牆防衛;堆起; 積成堆	登上	哀痛;哀悼	割草機;收割機
mount	登上	哀痛;哀悼	割草機;收割機	含糊地說;咕噥
mourn	哀痛;哀悼	割草機;收割機	含糊地說;咕噥	健壯的
mower	割草機;收割機	含糊地說;咕噥	健壯的	沈思;冥想
mumble	含糊地說;咕噥	健壯的	沈思;冥想	芥茉
muscular	健壯的	沈思;冥想	芥茉	咕噥;抱怨
muse	沈思;冥想	芥茉	咕噥;抱怨	羊肉
mustard	芥茉	咕噥;抱怨	羊肉	神話;虛構的人(或事物)
mutter	咕噥;抱怨	羊肉	神話;虛構的人(或事物)	使煩惱;糾纏不休;不斷嘮叨
mutton	羊肉	神話;虛構的人(或事物)	使煩惱;糾纏不休;不斷嘮叨	天真的;幼稚的;輕信的
myth	神話;虛構的人(或事物)	使煩惱;糾纏不休;不斷嘮叨	天真的;幼稚的;輕信的	齷齪的;卑鄙的;難處理的
nag	使煩惱;糾纏不休;不斷嘮叨	天真的;幼稚的;輕信的	齷齪的;卑鄙的;難處理的	航行於;飛行於;操縱;導航
naive	天真的;幼稚的;輕信的	齷齪的;卑鄙的;難處理的	航行於;飛行於;操縱;導航	新聞廣播
