ware	(特定種類的)陶器;貨物	把...存入倉庫	武士;戰士;勇士	小心翼翼的;謹防的
warehouse	把...存入倉庫	武士;戰士;勇士	小心翼翼的;謹防的	疲倦的;厭倦的
warrior	武士;戰士;勇士	小心翼翼的;謹防的	疲倦的;厭倦的	怪誕的
wary	小心翼翼的;謹防的	疲倦的;厭倦的	怪誕的	靠碼頭
weary	疲倦的;厭倦的	怪誕的	靠碼頭	輪椅
weird	怪誕的	靠碼頭	輪椅	在哪裡
wharf	靠碼頭	輪椅	在哪裡	而
wheelchair	輪椅	在哪裡	而	發哀鳴聲;發牢騷
whereabouts	在哪裡	而	發哀鳴聲;發牢騷	旋轉;迴旋
whereas	而	發哀鳴聲;發牢騷	旋轉;迴旋	攪拌器
whine	發哀鳴聲;發牢騷	旋轉;迴旋	攪拌器	威士忌酒
whirl	旋轉;迴旋	攪拌器	威士忌酒	批發的
whisk	攪拌器	威士忌酒	批發的	有益健康的;強健的
whiskey/whisky	威士忌酒	批發的	有益健康的;強健的	分佈(或散佈)廣的
wholesale	批發的	有益健康的;強健的	分佈(或散佈)廣的	寡婦(或鰥夫)
wholesome	有益健康的;強健的	分佈(或散佈)廣的	寡婦(或鰥夫)	假髮
widespread	分佈(或散佈)廣的	寡婦(或鰥夫)	假髮	荒野,荒漠
widow/widower	寡婦(或鰥夫)	假髮	荒野,荒漠	野生生物
wig	假髮	荒野,荒漠	野生生物	枯萎;凋謝
wilderness	荒野,荒漠	野生生物	枯萎;凋謝	悲哀;災難
wildlife	野生生物	枯萎;凋謝	悲哀;災難	啄木鳥
wither	枯萎;凋謝	悲哀;災難	啄木鳥	作坊;研討會
woe	悲哀;災難	啄木鳥	作坊;研討會	崇拜;拜神;做禮拜
woodpecker	啄木鳥	作坊;研討會	崇拜;拜神;做禮拜	值得花費時間(或金錢)的
workshop	作坊;研討會	崇拜;拜神;做禮拜	值得花費時間(或金錢)的	值得的
worship	崇拜;拜神;做禮拜	值得花費時間(或金錢)的	值得的	花圈;花冠
worthwhile	值得花費時間(或金錢)的	值得的	花圈;花冠	絞;擰;緊握
worthy	值得的	花圈;花冠	絞;擰;緊握	快艇
wreath	花圈;花冠	絞;擰;緊握	快艇	講故事;長談
wring	絞;擰;緊握	快艇	講故事;長談	酵母;酵母片
yacht	快艇	講故事;長談	酵母;酵母片	出產
yarn	講故事;長談	酵母;酵母片	出產	瑜珈
yeast	酵母;酵母片	出產	瑜珈	鋅
yield	出產	瑜珈	鋅	拉鍊
yoga	瑜珈	鋅	拉鍊	發出嗡嗡聲;將畫面推近或拉遠
zinc	鋅	拉鍊	發出嗡嗡聲;將畫面推近或拉遠	助手
zip/ZIP/zone improvement	拉鍊	發出嗡嗡聲;將畫面推近或拉遠	助手	生物;有機體
zoom	發出嗡嗡聲;將畫面推近或拉遠	助手	生物;有機體	發言人
