spectator	旁觀者;目擊者	脊柱;書脊;骨氣	光輝;壯觀;輝煌	海綿
spine	脊柱;書脊;骨氣	光輝;壯觀;輝煌	海綿	聚光燈
splendor	光輝;壯觀;輝煌	海綿	聚光燈	衝刺
sponge	海綿	聚光燈	衝刺	鼓勵
spotlight	聚光燈	衝刺	鼓勵	壓扁(壓碎)
sprint	衝刺	鼓勵	壓扁(壓碎)	蹲，蹲坐
spur	鼓勵	壓扁(壓碎)	蹲，蹲坐	疊
squash 	壓扁(壓碎)	蹲，蹲坐	疊	搖搖晃晃
squat	蹲，蹲坐	疊	搖搖晃晃	污點;色斑;染色劑
stack	疊	搖搖晃晃	污點;色斑;染色劑	把...押下打賭,拿...冒險
stagger	搖搖晃晃	污點;色斑;染色劑	把...押下打賭,拿...冒險	偷偷靠近;追蹤
stain	污點;色斑;染色劑	把...押下打賭,拿...冒險	偷偷靠近;追蹤	把...關入畜舍;使拋錨;支吾;拖延
stake	把...押下打賭,拿...冒險	偷偷靠近;追蹤	把...關入畜舍;使拋錨;支吾;拖延	詩的一節
stalk 	偷偷靠近;追蹤	把...關入畜舍;使拋錨;支吾;拖延	詩的一節	驚嚇
stall	把...關入畜舍;使拋錨;支吾;拖延	詩的一節	驚嚇	政治家
stanza	詩的一節	驚嚇	政治家	統計量;統計數值
startle	驚嚇	政治家	統計量;統計數值	統計的;統計學的
statesman 	政治家	統計量;統計數值	統計的;統計學的	汽船
statistic	統計量;統計數值	統計的;統計學的	汽船	掌(船)舵,駕駛
statistical	統計的;統計學的	汽船	掌(船)舵,駕駛	使成為陳規;把...澆鑄成鉛板
steamer 	汽船	掌(船)舵,駕駛	使成為陳規;把...澆鑄成鉛板	嚴厲的;堅定的
steer	掌(船)舵,駕駛	使成為陳規;把...澆鑄成鉛板	嚴厲的;堅定的	燉煮
stereotype	使成為陳規;把...澆鑄成鉛板	嚴厲的;堅定的	燉煮	男服務員;管家
stern	嚴厲的;堅定的	燉煮	男服務員;管家	發惡臭;名聲臭
stew	燉煮	男服務員;管家	發惡臭;名聲臭	給(商店)辦貨;貯存
steward/stewardess/attendant	男服務員;管家	發惡臭;名聲臭	給(商店)辦貨;貯存	屈身;彎腰駝背
stink	發惡臭;名聲臭	給(商店)辦貨;貯存	屈身;彎腰駝背	貯藏;貯藏庫
stock 	給(商店)辦貨;貯存	屈身;彎腰駝背	貯藏;貯藏庫	結實的（用於男性）
stoop	屈身;彎腰駝背	貯藏;貯藏庫	結實的（用於男性）	把...弄直;澄清
storage	貯藏;貯藏庫	結實的（用於男性）	把...弄直;澄清	一直向前的;正直的;簡單易懂的
stout	結實的（用於男性）	把...弄直;澄清	一直向前的;正直的;簡單易懂的	拉緊
straighten	把...弄直;澄清	一直向前的;正直的;簡單易懂的	拉緊	海峽
straightforward	一直向前的;正直的;簡單易懂的	拉緊	海峽	使擱淺;處於困境
strain	拉緊	海峽	使擱淺;處於困境	吊環
strait	海峽	使擱淺;處於困境	吊環	迷路的;流浪的;零星的
strand	使擱淺;處於困境	吊環	迷路的;流浪的;零星的	形成條紋;疾駛;閃現
strap	吊環	迷路的;流浪的;零星的	形成條紋;疾駛;閃現	大步走
stray	迷路的;流浪的;零星的	形成條紋;疾駛;閃現	大步走	條紋;斑紋;線條
streak	形成條紋;疾駛;閃現	大步走	條紋;斑紋;線條	散步
stride	大步走	條紋;斑紋;線條	散步	建築上的;建築用的;結構上的
