disbelief	不信;懷疑	拋棄,摒棄,丟棄	信徒;門徒	歧視;區分出
discard	拋棄,摒棄,丟棄	信徒;門徒	歧視;區分出	分配;執行;配(藥)
disciple	信徒;門徒	歧視;區分出	分配;執行;配(藥)	配置;處置
discriminate	歧視;區分出	分配;執行;配(藥)	配置;處置	區別;殊勳;榮譽
dispense	分配;執行;配(藥)	配置;處置	區別;殊勳;榮譽	有特色的;特殊的
dispose	配置;處置	區別;殊勳;榮譽	有特色的;特殊的	使悲痛;使苦惱
distinction	區別;殊勳;榮譽	有特色的;特殊的	使悲痛;使苦惱	用文件證明
distinctive	有特色的;特殊的	使悲痛;使苦惱	用文件證明	門口
distress	使悲痛;使苦惱	用文件證明	門口	門口
document	用文件證明	門口	門口	學生宿舍
doorstep	門口	門口	學生宿舍	生麵糰;現款
doorway	門口	學生宿舍	生麵糰;現款	向下的,下降的;日趨沒落的
dormitory	學生宿舍	生麵糰;現款	向下的,下降的;日趨沒落的	向下的,下降的;日趨沒落的
dough	生麵糰;現款	向下的,下降的;日趨沒落的	向下的,下降的;日趨沒落的	(用布等鬆軟地)覆蓋;垂掛
downward	向下的,下降的;日趨沒落的	向下的,下降的;日趨沒落的	(用布等鬆軟地)覆蓋;垂掛	可怕的
downward	向下的,下降的;日趨沒落的	(用布等鬆軟地)覆蓋;垂掛	可怕的	衣櫃
drape	(用布等鬆軟地)覆蓋;垂掛	可怕的	衣櫃	打扮;佈置,裝飾;(拌沙拉等用的)調料
dreadful	可怕的	衣櫃	打扮;佈置,裝飾;(拌沙拉等用的)調料	車道
dresser	衣櫃	打扮;佈置,裝飾;(拌沙拉等用的)調料	車道	持續,持久
dressing	打扮;佈置,裝飾;(拌沙拉等用的)調料	車道	持續,持久	黃昏
driveway	車道	持續,持久	黃昏	使顯得矮小;阻礙生長
duration	持續,持久	黃昏	使顯得矮小;阻礙生長	居住;存在於;思索
dusk	黃昏	使顯得矮小;阻礙生長	居住;存在於;思索	住處;寓所
dwarf	使顯得矮小;阻礙生長	居住;存在於;思索	住處;寓所	月蝕
dwell	居住;存在於;思索	住處;寓所	月蝕	鰻魚
dwelling	住處;寓所	月蝕	鰻魚	自我;自負
eclipse	月蝕	鰻魚	自我;自負	精心製作的;煞費苦心的,辛勤的
eel	鰻魚	自我;自負	精心製作的;煞費苦心的,辛勤的	提高;振奮;升職
ego	自我;自負	精心製作的;煞費苦心的,辛勤的	提高;振奮;升職	擁抱;包含
elaborate	精心製作的;煞費苦心的,辛勤的	提高;振奮;升職	擁抱;包含	努力;力圖
elevate	提高;振奮;升職	擁抱;包含	努力;力圖	把...記入名冊,登記
embrace	擁抱;包含	努力;力圖	把...記入名冊,登記	保證;擔保
endeavor	努力;力圖	把...記入名冊,登記	保證;擔保	企業,公司
enroll	把...記入名冊,登記	保證;擔保	企業,公司	熱情的;熱烈的
ensure/insure	保證;擔保	企業,公司	熱情的;熱烈的	給...權力(或資格)
enterprise	企業,公司	熱情的;熱烈的	給...權力(或資格)	用符號表示某種關係;等同
enthusiastic	熱情的;熱烈的	給...權力(或資格)	用符號表示某種關係;等同	豎起的
entitle	給...權力(或資格)	用符號表示某種關係;等同	豎起的	噴出;爆發
equate	用符號表示某種關係;等同	豎起的	噴出;爆發	護送;為...護航;陪同
erect	豎起的	噴出;爆發	護送;為...護航;陪同	地產
