erupt	噴出;爆發	護送;為...護航;陪同	地產	尊重;評價
escort	護送;為...護航;陪同	地產	尊重;評價	永久的;永恆的
estate	地產	尊重;評價	永久的;永恆的	倫理標準
esteem	尊重;評價	永久的;永恆的	倫理標準	常綠的;常青的
eternal	永久的;永恆的	倫理標準	常綠的;常青的	誇張
ethic	倫理標準	常綠的;常青的	誇張	超過;勝過
evergreen	常綠的;常青的	誇張	超過;勝過	勝過;突出
exaggeration	誇張	超過;勝過	勝過;突出	例外的;異常的;特殊的
exceed	超過;勝過	勝過;突出	例外的;異常的;特殊的	過量的;額外的
excel	勝過;突出	例外的;異常的;特殊的	過量的;額外的	呼喊;驚叫
exceptional	例外的;異常的;特殊的	過量的;額外的	呼喊;驚叫	除外
excess	過量的;額外的	呼喊;驚叫	除外	實施;執行;處死
exclaim	呼喊;驚叫	除外	實施;執行;處死	執行的;行政部門的
exclude	除外	實施;執行;處死	執行的;行政部門的	流放;放逐
execute	實施;執行;處死	執行的;行政部門的	流放;放逐	伸長;擴大;延期
executive	執行的;行政部門的	流放;放逐	伸長;擴大;延期	廣大的;廣闊的
exile	流放;放逐	伸長;擴大;延期	廣大的;廣闊的	外面
extension	伸長;擴大;延期	廣大的;廣闊的	外面	外面的
extensive	廣大的;廣闊的	外面	外面的	絕種的
exterior	外面	外面的	絕種的	異常的;特別的
external	外面的	絕種的	異常的;特別的	睫毛
extinct	絕種的	異常的;特別的	睫毛	臉皮
extraordinary	異常的;特別的	睫毛	臉皮	布料;織品
eyelash/lash	睫毛	臉皮	布料;織品	一時的流行(或風尚)
eyelid	臉皮	布料;織品	一時的流行(或風尚)	華氏溫標
fabric	布料;織品	一時的流行(或風尚)	華氏溫標	踉蹌;搖晃;結巴地說話
fad	一時的流行(或風尚)	華氏溫標	踉蹌;搖晃;結巴地說話	迷住,使神魂顛倒
Fahrenheit	華氏溫標	踉蹌;搖晃;結巴地說話	迷住,使神魂顛倒	使疲勞
falter	踉蹌;搖晃;結巴地說話	迷住,使神魂顛倒	使疲勞	聯邦(制)的
fascinate	迷住,使神魂顛倒	使疲勞	聯邦(制)的	虛弱的;軟弱的
fatigue	使疲勞	聯邦(制)的	虛弱的;軟弱的	女性的;女孩氣的;陰性的
federal	聯邦(制)的	虛弱的;軟弱的	女性的;女孩氣的;陰性的	肥料
feeble	虛弱的;軟弱的	女性的;女孩氣的;陰性的	肥料	未婚夫
feminine	女性的;女孩氣的;陰性的	肥料	未婚夫	纖維
fertilizer	肥料	未婚夫	纖維	拉提琴;胡來;騙取
fiancé/fiancée	未婚夫	纖維	拉提琴;胡來;騙取	過濾
fiber	纖維	拉提琴;胡來;騙取	過濾	鰭;鰭狀物
fiddle	拉提琴;胡來;騙取	過濾	鰭;鰭狀物	漁業
filter	過濾	鰭;鰭狀物	漁業	使成薄片;像雪花般覆蓋
fin	鰭;鰭狀物	漁業	使成薄片;像雪花般覆蓋	(上下或前後)拍動;(鳥)振(翅)
