stripe	條紋;斑紋;線條	散步	建築上的;建築用的;結構上的	絆倒
stroll	散步	建築上的;建築用的;結構上的	絆倒	砍去...的幹;作巡迴政治演說
structural	建築上的;建築用的;結構上的	絆倒	砍去...的幹;作巡迴政治演說	使昏迷;使大吃一驚
stumble	絆倒	砍去...的幹;作巡迴政治演說	使昏迷;使大吃一驚	結實的
stump	砍去...的幹;作巡迴政治演說	使昏迷;使大吃一驚	結實的	結結巴巴地說話
stun	使昏迷;使大吃一驚	結實的	結結巴巴地說話	時髦的;漂亮的
sturdy	結實的	結結巴巴地說話	時髦的;漂亮的	提交
stutter	結結巴巴地說話	時髦的;漂亮的	提交	實質的
stylish	時髦的;漂亮的	提交	實質的	用...代替;代替
submit	提交	實質的	用...代替;代替	小型旅行箱;手提箱
substantial	實質的	用...代替;代替	小型旅行箱;手提箱	硫
substitute	用...代替;代替	小型旅行箱;手提箱	硫	召喚
suitcase	小型旅行箱;手提箱	硫	召喚	外表的;粗略的;膚淺的
sulfur	硫	召喚	外表的;粗略的;膚淺的	迷信
summon	召喚	外表的;粗略的;膚淺的	迷信	監督;管理;指導
superficial	外表的;粗略的;膚淺的	迷信	監督;管理;指導	主任
superstition	迷信	監督;管理;指導	主任	鎮壓;壓制;抑制
supervise	監督;管理;指導	主任	鎮壓;壓制;抑制	最高的,至上的
supervisor	主任	鎮壓;壓制;抑制	最高的,至上的	(海浪)洶湧;激增
suppress	鎮壓;壓制;抑制	最高的,至上的	(海浪)洶湧;激增	使中止,懸掛,吊掛
supreme	最高的,至上的	(海浪)洶湧;激增	使中止,懸掛,吊掛	支撐;承受
surge	(海浪)洶湧;激增	使中止,懸掛,吊掛	支撐;承受	使陷入沼澤;淹沒;使陷入困境
suspend	使中止,懸掛,吊掛	支撐;承受	使陷入沼澤;淹沒;使陷入困境	成群地移動(或飛行);擠滿
sustain	支撐;承受	使陷入沼澤;淹沒;使陷入困境	成群地移動(或飛行);擠滿	同情;憐憫
swamp	使陷入沼澤;淹沒;使陷入困境	成群地移動(或飛行);擠滿	同情;憐憫	著手對付(或處理);擒抱並摔倒
swarm	成群地移動(或飛行);擠滿	同情;憐憫	著手對付(或處理);擒抱並摔倒	棕褐色
sympathize	同情;憐憫	著手對付(或處理);擒抱並摔倒	棕褐色	使糾結;使混亂
tackle	著手對付(或處理);擒抱並摔倒	棕褐色	使糾結;使混亂	塗焦油於;玷污;污辱
tan	棕褐色	使糾結;使混亂	塗焦油於;玷污;污辱	水果塔
tangle	使糾結;使混亂	塗焦油於;玷污;污辱	水果塔	辱罵;嘲笑;奚落
tar	塗焦油於;玷污;污辱	水果塔	辱罵;嘲笑;奚落	小酒館;小客棧
tart	水果塔	辱罵;嘲笑;奚落	小酒館;小客棧	敘述者;(銀行)出納員
taunt	辱罵;嘲笑;奚落	小酒館;小客棧	敘述者;(銀行)出納員	速度;拍子
tavern	小酒館;小客棧	敘述者;(銀行)出納員	速度;拍子	引誘;誘惑
teller	敘述者;(銀行)出納員	速度;拍子	引誘;誘惑	引誘;誘惑;誘惑物
tempo	速度;拍子	引誘;誘惑	引誘;誘惑;誘惑物	房客
tempt	引誘;誘惑	引誘;誘惑;誘惑物	房客	試驗性的;暫時性的;猶豫的
temptation	引誘;誘惑;誘惑物	房客	試驗性的;暫時性的;猶豫的	終點的
tenant	房客	試驗性的;暫時性的;猶豫的	終點的	大陽台
tentative	試驗性的;暫時性的;猶豫的	終點的	大陽台	大腿
