counselor	顧問;(學生的)輔導員;律師	逆時針方向的	回數票;減價優待券	庭院
counterclockwise	逆時針方向的	回數票;減價優待券	庭院	膽小的;懦怯的
coupon	回數票;減價優待券	庭院	膽小的;懦怯的	舒適的
courtyard	庭院	膽小的;懦怯的	舒適的	薄脆餅乾
cowardly	膽小的;懦怯的	舒適的	薄脆餅乾	使成坑; 形成坑
cozy	舒適的	薄脆餅乾	使成坑; 形成坑	發出咯吱聲
cracker	薄脆餅乾	使成坑; 形成坑	發出咯吱聲	小溪
crater	使成坑; 形成坑	發出咯吱聲	小溪	作弊
creak	發出咯吱聲	小溪	作弊	鱷魚
creek	小溪	作弊	鱷魚	交叉;交叉點,橫穿;雜交;十字路口
crib	作弊	鱷魚	交叉;交叉點,橫穿;雜交;十字路口	蹲;彎腰
crocodile 	鱷魚	交叉;交叉點,橫穿;雜交;十字路口	蹲;彎腰	咬嚼
crossing	交叉;交叉點,橫穿;雜交;十字路口	蹲;彎腰	咬嚼	水晶的
crouch	蹲;彎腰	咬嚼	水晶的	烹飪(法);菜餚
crunch	咬嚼	水晶的	烹飪(法);菜餚	控制;遏止;勒住
crystal	水晶的	烹飪(法);菜餚	控制;遏止;勒住	通貨;貨幣
cuisine	烹飪(法);菜餚	控制;遏止;勒住	通貨;貨幣	學校的全部課程
curb	控制;遏止;勒住	通貨;貨幣	學校的全部課程	咖哩
currency	通貨;貨幣	學校的全部課程	咖哩	關稅;報關手續;海關出入境口
curriculum	學校的全部課程	咖哩	關稅;報關手續;海關出入境口	投擲(標槍等);投射;狂奔
curry	咖哩	關稅;報關手續;海關出入境口	投擲(標槍等);投射;狂奔	使眼花;使驚羨
customs	關稅;報關手續;海關出入境口	投擲(標槍等);投射;狂奔	使眼花;使驚羨	腐朽;衰退
dart	投擲(標槍等);投射;狂奔	使眼花;使驚羨	腐朽;衰退	欺騙,蒙蔽
dazzle	使眼花;使驚羨	腐朽;衰退	欺騙,蒙蔽	宣佈,宣告;宣言,聲明
decay	腐朽;衰退	欺騙,蒙蔽	宣佈,宣告;宣言,聲明	委派...為代表
deceive	欺騙,蒙蔽	宣佈,宣告;宣言,聲明	委派...為代表	授權;代表團
declaration	宣佈,宣告;宣言,聲明	委派...為代表	授權;代表團	民主主義者
delegate	委派...為代表	授權;代表團	民主主義者	否認;拒絕
delegation	授權;代表團	民主主義者	否認;拒絕	描寫的;描述性的
democrat	民主主義者	否認;拒絕	描寫的;描述性的	絕望,喪失信心
denial	否認;拒絕	描寫的;描述性的	絕望,喪失信心	鄙視
descriptive	描寫的;描述性的	絕望,喪失信心	鄙視	目的地,終點
despair	絕望,喪失信心	鄙視	目的地,終點	命運;天數
despise	鄙視	目的地,終點	命運;天數	破壞的;毀滅性的
destination	目的地,終點	命運;天數	破壞的;毀滅性的	奉獻
destiny	命運;天數	破壞的;毀滅性的	奉獻	狼吞虎嚥
destructive	破壞的;毀滅性的	奉獻	狼吞虎嚥	方言
devotion	奉獻	狼吞虎嚥	方言	不信;懷疑
devour	狼吞虎嚥	方言	不信;懷疑	拋棄,摒棄,丟棄
dialect	方言	不信;懷疑	拋棄,摒棄,丟棄	信徒;門徒
