compass	圖謀	憐憫;同情	有同情心的;慈悲的	強迫;強求
compassion	憐憫;同情	有同情心的;慈悲的	強迫;強求	讚美;恭維
compassionate	有同情心的;慈悲的	強迫;強求	讚美;恭維	合成的
compel	強迫;強求	讚美;恭維	合成的	理解;領會;包含
compliment	讚美;恭維	合成的	理解;領會;包含	理解;理解力
compound	合成的	理解;領會;包含	理解;理解力	妥協;危及;洩露(祕密等)
comprehend	理解;領會;包含	理解;理解力	妥協;危及;洩露(祕密等)	計算
comprehension	理解;理解力	妥協;危及;洩露(祕密等)	計算	使電腦化;用電腦處理
compromise	妥協;危及;洩露(祕密等)	計算	使電腦化;用電腦處理	夥伴
compute	計算	使電腦化;用電腦處理	夥伴	隱蔽,隱藏
computerize	使電腦化;用電腦處理	夥伴	隱蔽,隱藏	構想出;設想;懷孕
comrade	夥伴	隱蔽,隱藏	構想出;設想;懷孕	責備;譴責;判刑
conceal	隱蔽,隱藏	構想出;設想;懷孕	責備;譴責;判刑	引導,帶領
conceive	構想出;設想;懷孕	責備;譴責;判刑	引導,帶領	承認;供認;告解
condemn	責備;譴責;判刑	引導,帶領	承認;供認;告解	面臨;遭遇
conduct	引導,帶領	承認;供認;告解	面臨;遭遇	同意;贊成
confession	承認;供認;告解	面臨;遭遇	同意;贊成	保存;保護;節省
confront	面臨;遭遇	同意;贊成	保存;保護;節省	體諒的
consent	同意;贊成	保存;保護;節省	體諒的	安慰;慰問
conserve	保存;保護;節省	體諒的	安慰;慰問	憲法的
considerate	體諒的	安慰;慰問	憲法的	接觸傳染的;(感情等)感染性的
console	安慰;慰問	憲法的	接觸傳染的;(感情等)感染性的	弄髒;污染
constitutional	憲法的	接觸傳染的;(感情等)感染性的	弄髒;污染	凝視;思忖;仔細考慮
contagious	接觸傳染的;(感情等)感染性的	弄髒;污染	凝視;思忖;仔細考慮	當代的
contaminate	弄髒;污染	凝視;思忖;仔細考慮	當代的	輕視
contemplate	凝視;思忖;仔細考慮	當代的	輕視	爭取;競爭;搏鬥;聲稱
contemporary	當代的	輕視	爭取;競爭;搏鬥;聲稱	洲的;大陸的
contempt	輕視	爭取;競爭;搏鬥;聲稱	洲的;大陸的	連續性;一貫性
contend	爭取;競爭;搏鬥;聲稱	洲的;大陸的	連續性;一貫性	轉變;變換;改變信仰
continental	洲的;大陸的	連續性;一貫性	轉變;變換;改變信仰	證明...有罪;判...有罪
continuity	連續性;一貫性	轉變;變換;改變信仰	證明...有罪;判...有罪	為(書籍等)取得版權
convert	轉變;變換;改變信仰	證明...有罪;判...有罪	為(書籍等)取得版權	珊瑚
convict	證明...有罪;判...有罪	為(書籍等)取得版權	珊瑚	股份(有限)公司
copyright	為(書籍等)取得版權	珊瑚	股份(有限)公司	一致;相對應;通信;(總稱)信件
coral	珊瑚	股份(有限)公司	一致;相對應;通信;(總稱)信件	迴廊,通道
corporation	股份(有限)公司	一致;相對應;通信;(總稱)信件	迴廊,通道	腐敗的;貪污的
correspondence	一致;相對應;通信;(總稱)信件	迴廊,通道	腐敗的;貪污的	忠告;提議
corridor	迴廊,通道	腐敗的;貪污的	忠告;提議	顧問;(學生的)輔導員;律師
corrupt	腐敗的;貪污的	忠告;提議	顧問;(學生的)輔導員;律師	逆時針方向的
counsel	忠告;提議	顧問;(學生的)輔導員;律師	逆時針方向的	回數票;減價優待券
