[거스름돈]을 받다	收下「找回的零錢」
돈을 [건네다]	「交」錢
[과소비]를 줄이다	減少「過度消費」
[단골] 손님	「老」客戶
작품[명]	產品「名」
[반값]에 팔다	賣「半價」
[보람]을 느끼다	感到有「價值」
[비용]이 들다	花「成本」
[세일] 가격	「銷售」價格
[쇼핑몰]을 운영하다	經營「購物中心」
[쇼핑센터]에서 사다	在「購物中心」買
[싸구려] 화장품	「便宜貨」化妝品
돈을 [아끼다]	「省」錢
[요청]을 받다	接受「要求」
[유료]:무료	「有料」：無料
여성 [의류]	女生「服裝」
요금 [인상]	價格「提高」
가격 [인하]	「降」價
[일시불]로 내다	一次付清
[중고] 자동차	「中古」車
[중고품]을 팔다	賣「二手貨」
값을 [치르다]	「支付」價錢
[캠페인]을 벌이다	進行「活動」
[쿠폰]을 모으다	收集「優惠券」
[편의]를 봐주다	給予「方便」
세금 [포함]	「含」稅
가격 [표시]	價格「標記」
[할부] 기간	「分期」期間
[혜택]을 누리다	享受「優恵」
요금 [환불]	退款
[공과금]을 내다	付「公共費用」
[낭비]를 막다	防止「浪費」
[살림]을 차리다	「成家」過日子
[생활비]를 벌다	賺「生活費」
[용돈]을 쓰다	花「零用錢」
[일상]에 만족하다	滿足「日常」
[일상생활]에서 사용하다	在「日常生活」使用
[일상적] 사용	「日常的」使用
[자취] 생활	「自炊」生活
[절약] 시간 	「節約」時間
[집세]를 내다	付「租金」
호텔에서 [묵다]	「住」酒店
[부동산]에 투자하다	投資「房地產」
[숙박비]를 지불하다	支付「房錢」
[숙소]에 머물다	停留在「宿所」
[원룸]에 살다	住「套房」
[월세]를 내다	交「月租」
비용이 [저렴하다]	費用「低廉」
[전세]로 살다	租住「全租」
[콘도]에서 묵다	住在「公寓」
[하숙]을 옮기다	搬「宿舍」
