[소파]	沙發
[식탁]을 차리다	擺「桌子」
[옷장]에 넣다	放進「衣櫃」
[의자]에 앉다	坐在「椅子」上
[책상]	書桌
[책장]	書櫃
[침대]	床
[테이블]에 놓다	放在「桌子」上
[가위]로 자르다	用「剪刀」剪
[공책]에 쓰다	寫「筆記本」（空冊）
[노트]에 쓰다	寫「筆記」(note)
[볼펜] 으로 쓰다	用「原子筆」寫
[종이]에 쓰다	寫在「紙上」
[지우개]로 지우다	用「橡皮擦」擦
[책]을 읽다	讀「書」
[필통]에 넣다	放到「鉛筆盒」
[거울]을 보다	照「鏡子」
[공]을 굴리다	滾「球」
[그릇]에 담다	盛在「碗」裡
[꽃병]을 깨뜨리다	打破「花瓶」
[냄비]에 끓이다	在「鍋」裡煮
[냉장고]에 넣다	放進「冰箱」
[담배]를 피우다	抽「煙」
[라디오]를 켜다	開「收音機」
[물건]을 사다	買「東西」
[비누]로 씻다	用「肥皂」洗
[상자]에 넣다	裝「箱」
[선풍기]를 켜다	開「電扇」
[수건] 으로 닦다	用「毛巾」擦
[숟가락]을 들다	用「勺子」
[시계]:시간	鐘
[에어컨]을 켜다	開「冷氣」
[열쇠]로 열다	用「鑰匙」開門
[우산]을 쓰다	撐「傘」
[우표]를 붙이다	貼「郵票」
[이불]을 덮다	蓋「被子」
커피 [잔]	咖啡「杯」
[전화]를 걸다	打「電話」
[전화기]가 울리다	「電話」響
[젓가락]을 쓰다	用「筷子」
[줄]을 감다	「繩子」纏繞
[치약]을 짜다	擠「牙膏」
[칫솔]로 이를 닦다	用「牙刷」刷牙
[컵]을 닦다	擦「杯子」
[텔레비전]을 보다	看「電視」
[휴지]를 줍다	撿「衛生紙」
[휴지통]에 버리다	丟到「垃圾箱」
[가구]:책상	家具
[난방]:냉방	暖房：冷房
[벤치]에 앉다	坐在「長椅」
[탁자]에 내려놓다	放在「桌子」上
[화장대]에 앉다	坐在「梳妝台」
[나이프]로 썰다	用「刀」切
[메모지]에 쓰다	寫「便條紙」
[물감]으로 색칠하다	用「顏料」塗色
[분필]로 쓰다	用「粉筆」寫
[자]로 재다	用「尺」量
[풀]로 붙이다	用「膠水」黏
[가스]가 떨어지다	「瓦斯」沒了
[가스레인지]를 켜다	打開「瓦斯爐」
[가습기]를 켜다	打開「加濕器」
[가전제품]을 구입하다	買「家電產品」
[건전지]를 갈다	換「乾電池」
[공기]에 밥을 담다	在「空碗」裝飯
[공중전화] 박스	「公共電話」亭
[끈]을 묶다	繫上「繩子」
[난로]를 피우다	燒「爐火」
[냉방]을 하다	開「冷氣」
[녹음기]로 녹음하다	用「錄音機」錄音
[다리미]로 옷을 다리다	用「熨斗」燙衣服
[담요]를 덮다	蓋「毯子」
[도시락]을 싸다	帶「便當」
[드라이어]로 머리를 말리다	用「吹風機」吹頭髮
[막대기]로 치다	用「棍子」敲
[못]을 박다	釘「釘子」
[바구니]에 담다	裝在「籃子」
[바늘]로 꿰매다	用「針」縫
[박스]를 열다	開「盒子」
냄비 [받침]	鍋「墊」
[밥그릇]을 비우다	吃完「飯碗」
[방울]이 맺히다	結「鈴鐺」
[배터리]를 충전하다	「電池」充電
[버튼]을 누르다	按「按鈕」
[베개]를 베다	枕「枕頭」
[벨]을 누르다	按「鈴」
[벽시계]를 걸다	掛「掛鐘」
[벽지]를 바르다	糊「壁紙」
[복사기]로 문서를 복사하다	用「複印機」影印
[봉지]에 넣다	放進「袋子」
[부채]를 부치다	搧「扇子」
[비닐]로 싸다	用「塑膠袋」包
[빗]으로 빗다	用「梳子」梳
[생활용품]을 구입하다	買「生活用品」
[샴푸]로 머리를 감다	用「洗髮水」洗髮
[설명서]를 읽다	讀「說明書」
[세제]로 닦아내다	用「洗潔劑」擦拭
[수도꼭지]를 잠그다	關「水龍頭」
[술잔]을 돌리다	傳「酒杯」
[실]로 묶다	用「線」綁
[액자]를 걸다	掛「相框」
[양산]을 쓰다	撐「陽傘」
[연탄]을 때다	燒「煤球」
[요]를 깔다	舖「墊被」
등산 [용품]	登山「用品」
[재떨이]에 버리다	丟在「煙灰缸」
[저울]에 달다	吊在「秤」
[전자레인지]에 데우다	用「微波爐」熱
[정수기]를 설치하다	安裝「飲水機」
[종이컵]을 쓰다	使用「紙杯」
[청소기]를 사다	買「吸塵器」
[커튼]을 매달다	掛上「窗簾」
[키]로 문을 열다	用「鑰匙」開門
[테이프]로 장식하다	用「緞帶」裝飾
[통]에 담다	裝在「桶子」中
[포크]로 찍다	用「叉子」叉
플라스틱 [플라스틱]	塑料「容器」
[필수품]을 장만하다	儲備「必需品」
[화장지]로 닦다	用「紙巾」擦
