										[국내] 여행	「國內」旅行
										대한민국 [국적]	大韓民國「國籍」
										[국제] 관계	「國際」關係
										우리 [나라]	我們「國家」
										미국 [대사관]	美國「大使館」
										[세계] 여행	「環球」旅行
										[세상]이 넓다	「世界」很大
										[외국]에 가다	去「國外」
										[유학생] 신분	「留學生」身份
										[경기]가 회복되다	「景氣」回復
										[경제] 개발	「經濟」開發
										[경제력]이 있다	有「經濟實力」
										[경제적] 능력 	「經濟的」能力
										[경제학]	經濟學
										[공업]이 발달하다	「工業」發達
										[국외]로 수출하다	輸出「國外」
										경제 [발전]	經濟「發展」
										[상반기] 소득	「上半年」收入
										[세계화] 시대	「全球化」時代
										[소득]이 많다	「收入」很多
										[수입품]:수출품	進口品
										[수출]:수입	出口
										서비스 [업계]	服務「業」
										[업체]와 거래하다	和「公司」交易
										[예산]을 짜다	制定「預算」
										자료 [입력]	資料「輸入」
										[적자]가 나다	出現「赤字」
										[통계] 자료	「統計」數據
										[선진] 국가	「先進」國家
										[선진국]으로 성장하다	發展為「先進國」
										[공격]을 받다	受到「攻擊」
										[난리]를 피하다	逃避「戰亂」
										[임무]를 맡기다	付與「使命」
										[입대]:제대	「入伍」：退伍
										[작전]을 생각하다	想「戰術」
										[전후] 사정	「前後」狀況
										남북 [통일]	南北「統一」
										[해방]을 맞이하다	迎來「解放」
										[희생]을 감수하다	甘願「犧牲」
										[군대]에 가다	去「軍隊」
										[독립] 선언	「獨立」宣言
										[무기]를 소지하다	持有「武器」
										육군 [부대]	陸軍「部隊」
										[비자]를 신청하다	申請「簽證」
										[성명]을 부르다	叫「名字」
										[승리]를 얻다	獲得「勝利」
										[육군] 부대	「陸軍」部隊
										[적]을 공격하다	攻搫「敵人」
										한국 [전쟁]	韓「戰」
										생활비 [지원]	生活費「支援」
										[지원] 동기	「應聘」動機
										[총]을 쏘다	射「槍」
										[총] 인원	「總」人員
										[출국] 수속	「出境」手續
										[평화]를 지키다	守「和平」
										[훈련]을 마치다	完成「訓練」
										[군사] 조직	「軍事」組織
										[세계적] 예술가	「世界級」藝術家
										유럽 [연합]	歐「盟」
										[외교] 관계	「外交」關係
										[이민]을 가다	去「移民」
										[국제선]으로 갈아타다	轉搭「國際線」
										[국제화] 시대	「國際化」時代
										[양국]이 교류하다	「兩國」交流
										[이국적] 풍경	「異國的」風景
