가게	店舖	家具	包包	秋天
가구	家具	包包	秋天	客廳
가깝다	近	輕	細	簡單的
가다	去	教	指	帶去
가르치다	教	指	帶去	帶來
가방	包包	秋天	客廳	房子
가볍다	輕	細	簡單的	力量強
가을	秋天	客廳	房子	冬天
거실	客廳	房子	冬天	警察局
건물	房子	冬天	警察局	樓梯
겨울	冬天	警察局	樓梯	公園
경찰서	警察局	樓梯	公園	機場
계단	樓梯	公園	機場	教室
공원	公園	機場	教室	九月
공항	機場	教室	九月	星期五
교실	教室	九月	星期五	黑色
구	九	可看的	購買	洞
구십	九十	幾個	四	四十
구월	九月	星期五	黑色	價格
금요일	星期五	黑色	價格	歌手
까만색	黑色	價格	歌手	胸部
내년	明年	黃色	綠色	國家
내일	明天	大部份	暫時	大綱
네	四	誰	您	什麼
네	是的	誰	您	什麼
넷	四	二	三	二十
노란색	黃色	綠色	國家	剩下的
녹색	綠色	國家	剩下的	樹
다섯	五	五六	萬	四十
도서관	圖書館	動物園	腿	橋
동물원	動物園	腿	橋	熨
두	二	別的	兩三個	僅僅
둘	二	三	二十	三四個
만	萬	前	-天	-月
목요일	星期四	門	對不起	美容室
무슨	哪個	所有	最	別的
문	門	對不起	美容室	院子
미안	對不起	美容室	院子	鎮
미용실	美容室	院子	鎮	心
백	百	內心	香菇	奶油
백화점	百貨公司	春天	粉紅色	紅色
보다	看	退貨	換成	盼望
봄	春天	粉紅色	紅色	外
분홍색	粉紅色	紅色	外	外面
빨간색	紅色	外	外面	香蕉
사	四	四十	三	三十
사십	四十	三	三十	十
사월	四月	三月	星期三	十月
삼	三	三十	十	九
삼십	三十	十	九	九十
삼월	三月	星期三	十月	餐廳
세	三	二十	新衣	三四個
셋	三	二十	三四個	五
수요일	星期三	十月	餐廳	十二月
쉰	五十	十萬	三十	幾萬元
스무	二十	新衣	三四個	消極的
스물	二十	三四個	五	五六
시월	十月	餐廳	十二月	十一月
식당	餐廳	十二月	十一月	十字路口
십	十	九	九十	五十
십만	十萬	三十	幾萬元	幾百隻
십이월	十二月	十一月	十字路口	四季
십일월	十一月	十字路口	四季	事故
아니다	不是	美	哪裡也	痛
아니요	不是	啊	是	嘿
아침	早晨	夏天	零	電影院
아홉	九	九十	五十	六
아흔	九十	五十	六	六十
안	不	也許	不管再怎麼	很
앉다	坐	來	穿衣	抱
어제	昨天	今天	剛	一點
억	億	八	八十	六
여덟	八	八十	六	十
여든	八十	六	十	六十
여름	夏天	零	電影院	五月
여섯	六	十	六十	五
열	十	鑰匙	火車	十天
영	零	永遠	例如	很少
영화관	電影院	五月	上午	下午
예순	六十	五	七十	五兆二千億
오	五	我	哎	打擾一下
오늘	今天	剛	一點	昨天
오다	來	穿衣	抱	不行
오십	五十	六	六十	二
오월	五月	上午	下午	今年
오전	上午	下午	今年	郵局
오후	下午	今年	郵局	星期一
올해	今年	郵局	星期一	六月
우체국	郵局	星期一	六月	銀行
월	月	日	年	星期
월요일	星期一	六月	銀行	二月
유월	六月	銀行	二月	星期日
육	六	六十	二	二十
육십	六十	二	二十	一
은행	銀行	二月	星期日	一月
이	二	當天	機會	姓名
이십	二十	一	七	十
이월	二月	星期日	一月	小姐
일	一	日記	日本	部份
일곱	七	十七	七十	八
일요일	星期日	一月	小姐	嬰兒
일월	一月	小姐	嬰兒	播音員
일흔	七十	五兆二千億	千	第四
입다	穿衣	抱	不行	知道
작년	去年	上個月	明年	自我介紹
지난달	上個月	去年	自我介紹	汽車
지난해	去年	自我介紹	汽車	自動販賣機
천	千	第四	第五個	第二
천만	千萬	九	九十	幾個
칠	七	七十	八	八十
칠십	七十	八	八十	一
칠월	七月	車	茶	順序
토요일	星期六	桌球	糖醋肉	泰國
파란색	藍色	八月	便利商店	派對
팔	八	方便	平安	寫信
팔십	八十	一	一兩個	這小孩（그 아이) 的略語
팔월	八月	便利商店	派對	手臂
편의점	便利商店	派對	手臂	方便
하나	一	一兩個	這小孩（그 아이) 的略語	即便如此
한	一位	一個或兩個	舊	間接的
호	號	月	日	年
호텔	飯店	星期二	天空	天藍色
화요일	星期二	天空	天藍色	一天
