answer	回答	螞蟻	任何的	任何事物
ant	螞蟻	任何的	任何事物	𤠣子
any	任何的	手臂	𤠣子	出現
anything	任何事物	𤠣子	出現	蘋果
ape	𤠣子	出現	蘋果	四月
appear	出現	蘋果	四月	是
apple	蘋果	四月	是	面積
April/Apr.	四月	是	面積	手臂
are	是	面積	手臂	軍隊;大群
area	面積	手臂	軍隊;大群	附近
arm 	手臂	軍隊;大群	附近	藝術
army	軍隊;大群	附近	藝術	當
around	附近	藝術	當	問
art	藝術	當	問	在
as	當	問	在	八月
ask	問	在	八月	姨媽;姑媽
at	在	八月	姨媽;姑媽	秋季
August/Aug.	八月	姨媽;姑媽	秋季	離開
aunt/auntie/aunty	姨媽;姑媽	秋季	離開	嬰兒
autumn/fall	秋季	離開	嬰兒	背
away	離開	嬰兒	背	壞的
baby	嬰兒	背	壞的	袋子
back	背	壞的	袋子	球
bad	壞的	袋子	球	汽球
bag	袋子	球	汽球	香蕉
ball	球	汽球	香蕉	樂團;樂隊
balloon	汽球	香蕉	樂團;樂隊	銀行
banana	香蕉	樂團;樂隊	銀行	閂住;阻攔;禁止
band	樂團;樂隊	銀行	閂住;阻攔;禁止	男理髮師
bank 	銀行	閂住;阻攔;禁止	男理髮師	以...為基地
bar	閂住;阻攔;禁止	男理髮師	以...為基地	棒球
barber	男理髮師	以...為基地	棒球	基本的
base	以...為基地	棒球	銀行	籃子
baseball	棒球	基本的	籃子	籃球
basic	基本的	籃子	籃球	蝙蝠
basket	籃子	籃球	蝙蝠	洗澡
basketball	籃球	蝙蝠	洗澡	以...為基地
bat 	蝙蝠	洗澡	籃子	廁所;浴室
bath	洗澡	籃子	樂團;樂隊	是;要;有;在
bathe	洗澡	樂團;樂隊	是;要;有;在	海灘
