doll	洋娃娃	美元	門	鴿
dollar/buck	美元	門	鴿	往下
door	門	鴿	往下	樓下的
dove	鴿	往下	樓下的	一打
down	往下	樓下的	一打	畫
downstairs	樓下的	一打	畫	做夢
dozen	一打	畫	做夢	喝
draw	畫	做夢	喝	開車
dream	做夢	喝	開車	司機
drink	喝	開車	司機	乾的
drive	開車	司機	乾的	鴨
driver	司機	乾的	鴨	小鴨
dry 	乾的	鴨	小鴨	在～期間
duck	鴨	小鴨	在～期間	每個
duckling	小鴨	在～期間	每個	老鷹
during	在～期間	每個	老鷹	耳朵
each	每個	老鷹	耳朵	早的;提早的
eagle	老鷹	耳朵	早的;提早的	地球;土地
ear	耳朵	早的;提早的	地球;土地	減輕
early	早的;提早的	地球;土地	減輕	東方
earth	地球;土地	減輕	東方	容易的
ease	減輕	東方	容易的	吃
east	東方	容易的	吃	邊緣
easy	容易的	吃	邊緣	蛋
eat	吃	邊緣	蛋	八
edge	邊緣	蛋	八	十八
egg	蛋	八	十八	八十
eight	八	十八	八十	任何一個
eighteen	十八	八十	任何一個	大象
eighty	八十	任何一個	大象	十一
either 	任何一個	大象	十一	其他,另外;否則,要不然
elephant	大象	十一	其他,另外;否則,要不然	結束
eleven	十一	其他,另外;否則,要不然	結束	英文
else	其他,另外;否則,要不然	結束	英文	足夠的
end	結束	英文	足夠的	輸入;進入
English	英文	足夠的	輸入;進入	相等的; 平等的
enough	足夠的	輸入;進入	相等的; 平等的	甚至
enter	輸入;進入	相等的; 平等的	甚至	傍晚
equal	相等的; 平等的	甚至	傍晚	從來;曾經
even 	甚至	傍晚	從來;曾經	每個
