push	推開	放置	皇后	詢問
put	放置	皇后	詢問	快的
queen	皇后	詢問	快的	安靜的
question	詢問	快的	安靜的	完全地;相當
quick	快的	安靜的	完全地;相當	跑步競賽
quiet	安靜的	完全地;相當	跑步競賽	用無線電傳送
quite	完全地;相當	跑步競賽	用無線電傳送	鐵路
race 	跑步競賽	用無線電傳送	鐵路	下雨
radio	用無線電傳送	鐵路	下雨	彩虹
railroad	鐵路	下雨	彩虹	種植
rain	下雨	彩虹	種植	老鼠
rainbow	彩虹	種植	老鼠	伸手拿
raise	種植	老鼠	伸手拿	閱讀
rat	老鼠	伸手拿	閱讀	準備好的
reach	伸手拿	閱讀	準備好的	真實的
read	閱讀	準備好的	真實的	推論,推理
ready	準備好的	真實的	推論,推理	收到
real	真實的	推論,推理	收到	紅色
reason	推論,推理	收到	紅色	記得
receive	收到	紅色	記得	報告;報導
red	紅色	記得	報告;報導	休息
remember	記得	報告;報導	休息	還
report	報告;報導	休息	還	飯
rest	休息	還	飯	富有的
return	還	飯	富有的	騎;乘
rice	飯	富有的	騎;乘	正確的
rich	富有的	騎;乘	正確的	戒指
ride	騎;乘	正確的	戒指	起身;升起
right 	正確的	戒指	起身;升起	河流
ring 	戒指	起身;升起	河流	道路
rise	起身;升起	河流	道路	機器人
river	河流	道路	機器人	岩石;搖滾樂
road	道路	機器人	岩石;搖滾樂	麵包捲
robot	機器人	岩石;搖滾樂	麵包捲	屋頂
rock 	岩石;搖滾樂	麵包捲	屋頂	居住; 為...提供住處
roll	麵包捲	屋頂	居住; 為...提供住處	雄雞;狂妄自負的人
roof	屋頂	居住; 為...提供住處	雄雞;狂妄自負的人	根
room	居住; 為...提供住處	雄雞;狂妄自負的人	根	捆
rooster	雄雞;狂妄自負的人	根	捆	玫瑰
root	根	捆	玫瑰	圓形的
