pencil 	筆	人們	或許	人
people	人們	或許	人	把...當作寵兒;寵愛;撫弄;生氣
perhaps	或許	人	把...當作寵兒;寵愛;撫弄;生氣	鋼琴
person	人	把...當作寵兒;寵愛;撫弄;生氣	鋼琴	圖畫
pet	把...當作寵兒;寵愛;撫弄;生氣	鋼琴	圖畫	派(食品)
piano	鋼琴	圖畫	派(食品)	拼湊;拼合;修理;修補
picture	圖畫	派(食品)	拼湊;拼合;修理;修補	小豬
pie	派(食品)	拼湊;拼合;修理;修補	小豬	放置
piece	拼湊;拼合;修理;修補	小豬	放置	計劃
pig	小豬	放置	計劃	植物
place	放置	計劃	植物	玩
plan	計劃	植物	玩	遊戲者;運動者;表演者
plant 	植物	玩	遊戲者;運動者;表演者	遊樂場;運動場
play	玩	遊戲者;運動者;表演者	遊樂場;運動場	請;取悅
player	遊戲者;運動者;表演者	遊樂場;運動場	請;取悅	口袋
playground	遊樂場;運動場	請;取悅	口袋	詩,詩歌,韻文
please	請;取悅	口袋	詩,詩歌,韻文	觀點
pocket	口袋	詩,詩歌,韻文	觀點	管理,監督
poetry	詩,詩歌,韻文	觀點	管理,監督	警察,警員
point 	觀點	管理,監督	警察,警員	池塘
police	管理,監督	警察,警員	池塘	合辦,聯營
policeman/cop	警察,警員	池塘	合辦,聯營	貧窮的
pond	池塘	合辦,聯營	貧窮的	爆米花
pool	合辦,聯營	貧窮的	爆米花	適當位置
poor	貧窮的	爆米花	適當位置	可能的
popcorn	爆米花	適當位置	可能的	給...提供動力; 快速前進
position	適當位置	可能的	給...提供動力; 快速前進	練習;訓練
possible	可能的	給...提供動力; 快速前進	練習;訓練	準備
power	給...提供動力; 快速前進	練習;訓練	準備	漂亮的
practice	練習;訓練	準備	漂亮的	給...定價
prepare	準備	漂亮的	給...定價	印刷;用印刷體寫
pretty 	漂亮的	給...定價	印刷;用印刷體寫	問題
price	給...定價	印刷;用印刷體寫	問題	證明,證實
print	印刷;用印刷體寫	問題	證明,證實	公開的;公立的
problem	問題	證明,證實	公開的;公立的	拉
prove	證明,證實	公開的;公立的	拉	紫色
public	公開的;公立的	拉	紫色	目的
pull	拉	紫色	目的	推開
purple	紫色	目的	推開	放置
purpose	目的	推開	放置	皇后
