sport	炫耀;誇示;遊戲,;開玩笑,嘲弄;突變	彈跳	樓梯	站
spring 	彈跳	樓梯	站	主演
stair	樓梯	站	主演	開始
stand	站	主演	開始	狀態
star	主演	開始	狀態	陳述
start	開始	狀態	陳述	車站
state	狀態	陳述	車站	停留
state 	陳述	車站	停留	階梯
station	車站	停留	階梯	仍然
stay	停留	階梯	仍然	用石頭鋪;用磨刀石磨
step	階梯	仍然	用石頭鋪;用磨刀石磨	停止
still 	仍然	用石頭鋪;用磨刀石磨	停止	儲藏
stone	用石頭鋪;用磨刀石磨	停止	儲藏	故事
stop	停止	儲藏	故事	奇怪的
store	儲藏	故事	奇怪的	街道
story 	故事	奇怪的	街道	強壯的
strange	奇怪的	街道	強壯的	學生
street	街道	強壯的	學生	學習
strong	強壯的	學生	學習	笨的
student	學生	學習	笨的	如此的
study 	學習	笨的	如此的	糖
stupid	笨的	如此的	糖	夏天
such	如此的	糖	夏天	太陽
sugar	糖	夏天	太陽	星期日
summer	夏天	太陽	星期日	超級的
sun	太陽	星期日	超級的	晚餐
Sunday/Sun.	星期日	超級的	晚餐	確定
super	超級的	晚餐	確定	使驚奇
supper	晚餐	確定	使驚奇	甜的
sure	確定	使驚奇	甜的	游泳
surprise	使驚奇	甜的	游泳	短袖圓領運動衫
sweet	甜的	游泳	短袖圓領運動衫	桌子
swim	游泳	短袖圓領運動衫	桌子	尾隨;盯梢;變少,縮小
T-shirt	短袖圓領運動衫	桌子	尾隨;盯梢;變少,縮小	拿;帶;採用
table	桌子	尾隨;盯梢;變少,縮小	拿;帶;採用	故事,傳說;謊話
tail	尾隨;盯梢;變少,縮小	拿;帶;採用	故事,傳說;謊話	講話
take	拿;帶;採用	故事,傳說;謊話	講話	高的
tale	故事,傳說;謊話	講話	高的	嘗
talk	講話	高的	嘗	計程車
tall	高的	嘗	計程車	茶
