heavy	重的	哈囉	幫忙	她的
hello	哈囉	幫忙	她的	在這裡
help	幫忙	她的	在這裡	高的
her	她的	在這裡	高的	丘陵
here	在這裡	高的	丘陵	他
high	高的	丘陵	他	他的
hill	丘陵	他	他的	歷史
him	他	他的	歷史	打擊
his	他的	歷史	打擊	握
history	歷史	打擊	握	鑿洞於,穿孔於;進入洞中
hit	打擊	握	鑿洞於,穿孔於;進入洞中	假日
hold	握	鑿洞於,穿孔於;進入洞中	假日	家庭的;國內的
hole	鑿洞於,穿孔於;進入洞中	假日	家庭的;國內的	家庭作業
holiday	假日	家庭的;國內的	家庭作業	希望
home	家庭的;國內的	家庭作業	希望	馬
homework	家庭作業	希望	馬	熱的
hope	希望	馬	熱的	小時
horse	馬	熱的	小時	給...房子住
hot	熱的	小時	給...房子住	如何
hour	小時	給...房子住	如何	巨大的
house	給...房子住	如何	巨大的	人類的
how	如何	巨大的	人類的	一百
huge	巨大的	人類的	一百	飢餓的
human	人類的	一百	飢餓的	傷害;使疼痛
hundred	一百	飢餓的	傷害;使疼痛	丈夫
hungry	飢餓的	傷害;使疼痛	丈夫	我
hurt	傷害;使疼痛	丈夫	我	冰
husband	丈夫	我	冰	主意
I	我	冰	主意	如果
ice	冰	主意	如果	重要的
idea	主意	如果	重要的	在裡面的
if	如果	重要的	在裡面的	使緩慢地移動
important	重要的	在裡面的	使緩慢地移動	裡面的
in	在裡面的	使緩慢地移動	裡面的	使發生興趣
inch	使緩慢地移動	裡面的	使發生興趣	進入
inside	裡面的	使發生興趣	進入	熨斗
interest	使發生興趣	進入	熨斗	是
into	進入	熨斗	是	它
iron	熨斗	是	它	它的
is	是	它	它的	果醬
