a/an	一個	能力;專門技能	關於	在～之上
able	能力;專門技能	關於	在～之上	根據;按照
about	關於	在～之上	根據;按照	在對面;向對面
above	在～之上	根據;按照	在對面;向對面	扮演
according to	根據;按照	在對面;向對面	扮演	動作
across	在對面;向對面	扮演	動作	男演員
act	扮演	動作	男演員	添加
action	動作	男演員	添加	地址
actor/actress	男演員	添加	地址	成年人
add	添加	地址	成年人	害怕的
address	地址	成年人	害怕的	之後
adult	成年人	害怕的	之後	下午
afraid	害怕的	之後	下午	再一次
after	之後	下午	再一次	反對
afternoon	下午	再一次	反對	年紀
again	再一次	反對	年紀	以前
against	反對	年紀	以前	同意
age	年紀	以前	同意	在前
ago	以前	同意	在前	空氣
agree	同意	在前	空氣	航空郵件
ahead	在前	空氣	航空郵件	飛機
air	空氣	航空郵件	飛機	飛機場
airmail	航空郵件	飛機	飛機場	所有的
airplane/plane	飛機	飛機場	所有的	允許
airport	飛機場	所有的	允許	幾乎
all	所有的	允許	幾乎	單獨的;孤單的
allow	允許	幾乎	單獨的;孤單的	向前;一起;帶著;來到;去到
almost	幾乎	單獨的;孤單的	向前;一起;帶著;來到;去到	已經
alone	單獨的;孤單的	向前;一起;帶著;來到;去到	已經	也
along	向前;一起;帶著;來到;去到	已經	也	總是
already	已經	也	總是	是
also	也	總是	是	在～之中
always	總是	是	在～之中	和
am	是	在～之中	和	生氣
among	在～之中	和	生氣	生氣的
and	和	生氣	生氣的	動物
anger	生氣	生氣的	動物	另一個
angry	生氣的	動物	另一個	回答
animal	動物	另一個	回答	螞蟻
another	另一個	回答	螞蟻	任何的
answer	回答	螞蟻	任何的	任何事物
ant	螞蟻	任何的	任何事物	𤠣子
any	任何的	任何事物	𤠣子	出現
anything	任何事物	𤠣子	出現	蘋果
ape	𤠣子	出現	蘋果	四月
appear	出現	蘋果	四月	是
apple	蘋果	四月	是	面積
April/Apr.	四月	是	面積	手臂
are	是	面積	手臂	軍隊;大群
area	面積	手臂	軍隊;大群	附近
arm 	手臂	軍隊;大群	附近	藝術
army	軍隊;大群	附近	藝術	當
around	附近	藝術	當	問
art	藝術	當	問	在
as	當	問	在	八月
ask	問	在	八月	姨媽;姑媽
at	在	八月	姨媽;姑媽	秋季
August/Aug.	八月	姨媽;姑媽	秋季	離開
aunt/auntie/aunty	姨媽;姑媽	秋季	離開	嬰兒
autumn/fall	秋季	離開	嬰兒	背
away	離開	嬰兒	背	壞的
baby	嬰兒	背	壞的	袋子
back	背	壞的	袋子	球
bad	壞的	袋子	球	汽球
bag	袋子	球	汽球	香蕉
ball	球	汽球	香蕉	樂團;樂隊
balloon	汽球	香蕉	樂團;樂隊	銀行
banana	香蕉	樂團;樂隊	銀行	閂住;阻攔;禁止
band	樂團;樂隊	銀行	閂住;阻攔;禁止	男理髮師
bank 	銀行	閂住;阻攔;禁止	男理髮師	以...為基地
bar	閂住;阻攔;禁止	男理髮師	以...為基地	棒球
barber	男理髮師	以...為基地	棒球	基本的
base	以...為基地	棒球	基本的	籃子
baseball	棒球	基本的	籃子	籃球
basic	基本的	籃子	籃球	蝙蝠
basket	籃子	籃球	蝙蝠	洗澡
basketball	籃球	蝙蝠	洗澡	洗澡
bat 	蝙蝠	洗澡	洗澡	廁所;浴室
bath	洗澡	洗澡	廁所;浴室	是;要;有;在
bathe	洗澡	廁所;浴室	是;要;有;在	海灘
bathroom	廁所;浴室	是;要;有;在	海灘	熊
be	是;要;有;在	海灘	熊	擊敗;敲擊
beach	海灘	熊	擊敗;敲擊	漂亮的
bear 	熊	擊敗;敲擊	漂亮的	美人
beat	擊敗;敲擊	漂亮的	美人	因為
beautiful	漂亮的	美人	因為	變成
beauty	美人	因為	變成	床
because	因為	變成	床	蜜蜂
become	變成	床	蜜蜂	之前
bed	床	蜜蜂	之前	開始
bee	蜜蜂	之前	開始	在～之後
before	之前	開始	在～之後	相信
begin	開始	在～之後	相信	鈴;鐘
behind	在～之後	相信	鈴;鐘	屬於
believe	相信	鈴;鐘	屬於	在～之下
bell	鈴;鐘	屬於	在～之下	在～旁
belong	屬於	在～之下	在～旁	最好的;最熟練的;最適當的
below	在～之下	在～旁	最好的;最熟練的;最適當的	較佳的;更好的;更適當的
beside	在～旁	最好的;最熟練的;最適當的	較佳的;更好的;更適當的	在～之間
best	最好的;最熟練的;最適當的	較佳的;更好的;更適當的	在～之間	腳踏車
better	較佳的;更好的;更適當的	在～之間	腳踏車	大的
between	在～之間	腳踏車	大的	鳥
bicycle/bike	腳踏車	大的	鳥	出生
big	大的	鳥	出生	一點點
bird	鳥	出生	一點點	咬
birth	出生	一點點	咬	黑色
bit	一點點	咬	黑色	街區
bite	咬	黑色	街區	血
black	黑色	街區	血	吹
block	街區	血	吹	藍色
blood	血	吹	藍色	小船
blow	吹	藍色	小船	身體
blue	藍色	小船	身體	骨頭
boat	小船	身體	骨頭	書
body	身體	骨頭	書	出生的;誕生的
bone	骨頭	書	出生的;誕生的	兩者
book 	書	出生的;誕生的	兩者	底部
born	出生的;誕生的	兩者	底部	碗
both	兩者	底部	碗	箱子
bottom	底部	碗	箱子	男孩
bowl	碗	箱子	男孩	勇敢的
box	箱子	男孩	勇敢的	麵包
boy 	男孩	勇敢的	麵包	中斷
brave	勇敢的	麵包	中斷	早餐
bread	麵包	中斷	早餐	橋
break	中斷	早餐	橋	聰明的
breakfast	早餐	橋	聰明的	帶來
bridge	橋	聰明的	帶來	兄;弟
bright	聰明的	帶來	兄;弟	棕色
bring	帶來	兄;弟	棕色	在...安裝竊聽器;煩擾;激怒
brother	兄;弟	棕色	在...安裝竊聽器;煩擾;激怒	建造;蓋
brown	棕色	在...安裝竊聽器;煩擾;激怒	建造;蓋	建築物
bug	在...安裝竊聽器;煩擾;激怒	建造;蓋	建築物	公車
build	建造;蓋	建築物	公車	忙碌的
building	建築物	公車	忙碌的	但是
bus	公車	忙碌的	但是	奶油
busy	忙碌的	但是	奶油	蝴蝶
but	但是	奶油	蝴蝶	買
butter	奶油	蝴蝶	買	經由
butterfly	蝴蝶	買	經由	把...關進籠子;把...囚禁起來
buy	買	經由	把...關進籠子;把...囚禁起來	蛋糕
by	經由	把...關進籠子;把...囚禁起來	蛋糕	喊;打電話
cage	把...關進籠子;把...囚禁起來	蛋糕	喊;打電話	駱駝
cake	蛋糕	喊;打電話	駱駝	照相機
call	喊;打電話	駱駝	照相機	露營
camel	駱駝	照相機	露營	能夠
camera	照相機	露營	能夠	糖果
camp	露營	能夠	糖果	便帽
can 	能夠	糖果	便帽	汽車
candy/sweet	糖果	便帽	汽車	卡片
cap	便帽	汽車	卡片	關心;照顧
car	汽車	卡片	關心;照顧	小心的
card	卡片	關心;照顧	小心的	提;搬運
care	關心;照顧	小心的	提;搬運	案子
careful	小心的	提;搬運	案子	貓
carry	提;搬運	案子	貓	接
case 	案子	貓	接	導致,使發生,引起
cat	貓	接	導致,使發生,引起	分(錢幣)
catch	接	導致,使發生,引起	分(錢幣)	中間
cause	導致,使發生,引起	分(錢幣)	中間	肯定的
