it	它	它的	果醬	一月
its	它的	果醬	一月	職業
jam 	果醬	一月	職業	加入
January/Jan.	一月	職業	加入	開玩笑
job	職業	加入	開玩笑	歡喜;樂趣
join	加入	開玩笑	歡喜;樂趣	果汁
joke	開玩笑	歡喜;樂趣	果汁	七月
joy	歡喜;樂趣	果汁	七月	跳
juice	果汁	七月	跳	六月
July/Jul.	七月	跳	六月	只是
jump	跳	六月	只是	保留;保持
June/Jun.	六月	只是	保留;保持	保管人;守衛
just 	只是	保留;保持	保管人;守衛	鑰匙
keep	保留;保持	保管人;守衛	鑰匙	踢
keeper	保管人;守衛	鑰匙	踢	小孩
key 	鑰匙	踢	小孩	殺
kick	踢	小孩	殺	種類
kid	小孩	殺	種類	國王
kill	殺	種類	國王	親吻
kind 	種類	國王	親吻	廚房
king	國王	親吻	廚房	風箏
kiss	親吻	廚房	風箏	小貓
kitchen	廚房	風箏	小貓	膝蓋
kite	風箏	小貓	膝蓋	刀子
kitten/kitty	小貓	膝蓋	刀子	知道
knee	膝蓋	刀子	知道	缺乏
knife	刀子	知道	缺乏	淑女
know	知道	缺乏	淑女	湖
lack	缺乏	淑女	湖	羔羊
lady	淑女	湖	羔羊	燈
lake	湖	羔羊	燈	土地
lamb	羔羊	燈	土地	大的
lamp	燈	土地	大的	最後的
land 	土地	大的	最後的	晚的;遲的
large	大的	最後的	晚的;遲的	笑
last 	最後的	晚的;遲的	笑	法律
late	晚的;遲的	笑	法律	置放;產卵
laugh	笑	法律	置放;產卵	懶惰的
law	法律	置放;產卵	懶惰的	引導
lay	置放;產卵	懶惰的	引導	領袖
