evening	傍晚	從來;曾經	每個	檢查,調查
ever	從來;曾經	每個	檢查,調查	檢查
every	每個	檢查,調查	檢查	例子
examination/exam	檢查,調查	檢查	例子	除…之外
examine	檢查	例子	除…之外	眼睛
example	例子	除…之外	眼睛	臉
except/excepting	除…之外	眼睛	臉	事實
eye	眼睛	臉	事實	工廠
face	臉	事實	工廠	掉下
fact	事實	工廠	掉下	家庭
factory	工廠	掉下	家庭	電扇
fall	掉下	家庭	電扇	遠的
family	家庭	電扇	遠的	農場
fan 	電扇	遠的	農場	農夫
far	遠的	農場	農夫	快的
farm	農場	農夫	快的	胖的
farmer	農夫	快的	胖的	父親
fast	快的	胖的	父親	畏懼
fat	胖的	父親	畏懼	二月
father	父親	畏懼	二月	餵
fear	畏懼	二月	餵	感覺
February/Feb.	二月	餵	感覺	感覺
feed	餵	感覺	感覺	感覺,觸覺
feel	感覺	感覺	感覺,觸覺	少數的
feeling	感覺	感覺,觸覺	少數的	十五
feelings	感覺,觸覺	少數的	十五	五十
few	少數的	十五	五十	打架;作戰
fifteen	十五	五十	打架;作戰	充滿;填充
fifty	五十	打架;作戰	充滿;填充	最終的
fight	打架;作戰	充滿;填充	最終的	找到
fill	充滿;填充	最終的	找到	美好的
final	最終的	找到	美好的	手指
find	找到	美好的	手指	完成
fine 	美好的	手指	完成	火
finger	手指	完成	火	第一的
finish	完成	火	第一的	魚
fire 	火	第一的	魚	五
first	第一的	魚	五	在...鋪設地板;使大為震驚
fish	魚	五	在...鋪設地板;使大為震驚	開花;發育,成熟;繁榮
five	五	在...鋪設地板;使大為震驚	開花;發育,成熟;繁榮	飛
