tomorrow	明天	音色,音調;色調	今晚	也是;過於
tone	音色,音調;色調	今晚	也是;過於	工具
tonight	今晚	也是;過於	工具	最高的
too	也是;過於	工具	最高的	總的
tool	工具	最高的	總的	碰
top	最高的	總的	碰	向
total	總的	碰	向	城市
touch	碰	向	城市	玩弄,戲耍;調情,調戲
toward	向	城市	玩弄,戲耍;調情,調戲	火車
town	城市	玩弄,戲耍;調情,調戲	火車	樹木
toy	玩弄,戲耍;調情,調戲	火車	樹木	旅行
train 	火車	樹木	旅行	麻煩;煩惱;費心
tree	樹木	旅行	麻煩;煩惱;費心	嘗試;努力
trip	旅行	麻煩;煩惱;費心	嘗試;努力	星期二
trouble	麻煩;煩惱;費心	嘗試;努力	星期二	肚子
try	嘗試;努力	星期二	肚子	轉
Tuesday/Tues./Tue.	星期二	肚子	轉	十二
tummy	肚子	轉	十二	二十
turn	轉	十二	二十	兩次
twelve	十二	二十	兩次	二
twenty	二十	兩次	二	叔叔
twice	兩次	二	叔叔	在下面
two	二	叔叔	在下面	了解
uncle	叔叔	在下面	了解	單位;單元;組件
under	在下面	了解	單位;單元;組件	直到
understand	了解	單位;單元;組件	直到	向上的;上行的
unit	單位;單元;組件	直到	向上的;上行的	樓上的
until/till	直到	向上的;上行的	樓上的	我們
up	向上的;上行的	樓上的	我們	利用
upstairs	樓上的	我們	利用	有用的
us	我們	利用	有用的	蔬菜
use	利用	有用的	蔬菜	很;非常
useful	有用的	蔬菜	很;非常	察看;將...看成是
vegetable	蔬菜	很;非常	察看;將...看成是	訪問
very 	很;非常	察看;將...看成是	訪問	(用言語)表達,說出
view	察看;將...看成是	訪問	(用言語)表達,說出	等候
visit	訪問	(用言語)表達,說出	等候	走路
voice	(用言語)表達,說出	等候	走路	用牆圍住
wait	等候	走路	用牆圍住	想要
walk	走路	用牆圍住	想要	戰爭
