cent	分(錢幣)	中間	肯定的	椅子
center	中間	肯定的	椅子	冒...的險;賭(錢); 碰巧
certain	肯定的	椅子	冒...的險;賭(錢); 碰巧	繪製...的圖表;詳細計劃
chair	椅子	冒...的險;賭(錢); 碰巧	繪製...的圖表;詳細計劃	追
chance	冒...的險;賭(錢); 碰巧	繪製...的圖表;詳細計劃	追	檢查
chart	繪製...的圖表;詳細計劃	追	檢查	小雞
chase	追	檢查	小雞	雞肉
check	檢查	小雞	雞肉	為首的;主要的
chick	小雞	雞肉	為首的;主要的	小孩
chicken	雞肉	為首的;主要的	小孩	耶誕節
chief	為首的;主要的	小孩	耶誕節	教堂
child	小孩	耶誕節	教堂	電影院;電影;電影業
Christmas/Xmas	耶誕節	教堂	電影院;電影;電影業	都市
church	教堂	電影院;電影;電影業	都市	把...分類;把...分等級
cinema	電影院;電影;電影業	都市	把...分類;把...分等級	乾淨的
city	都市	把...分類;把...分等級	乾淨的	清晰地,明瞭地
class	把...分類;把...分等級	乾淨的	清晰地,明瞭地	爬;攀登
clean	乾淨的	清晰地,明瞭地	爬;攀登	鐘
clear	清晰地,明瞭地	爬;攀登	鐘	關
climb	爬;攀登	鐘	關	雲
clock	鐘	關	雲	海岸
close 	關	雲	海岸	塗在...上
cloud	雲	海岸	塗在...上	可可亞
coast	海岸	塗在...上	可可亞	咖啡
coat	塗在...上	可可亞	咖啡	可樂
cocoa	可可亞	咖啡	可樂	寒冷的
coffee	咖啡	可樂	寒冷的	顏色
cola/Coke	可樂	寒冷的	顏色	來
cold	寒冷的	顏色	來	常見的
color	顏色	來	常見的	繼續
come	來	常見的	繼續	廚師
common	常見的	繼續	廚師	餅乾
continue	繼續	廚師	餅乾	涼快的;很棒的;酷
cook	廚師	餅乾	涼快的;很棒的;酷	玉米
cookie/cooky	餅乾	涼快的;很棒的;酷	玉米	正確的
cool	涼快的;很棒的;酷	玉米	正確的	花費
corn	玉米	正確的	花費	計算;數
correct	正確的	花費	計算;數	國家
cost	花費	計算;數	國家	(用獵犬)追獵;追逐
count	計算;數	國家	(用獵犬)追獵;追逐	封面
