mam	媽媽	給...配置人員	很多的	地圖
man	給...配置人員	很多的	地圖	行軍;把(人)強行帶走
many	很多的	地圖	行軍;把(人)強行帶走	(在市場上)銷售
map	地圖	行軍;把(人)強行帶走	(在市場上)銷售	結婚
March/Mar.	行軍;把(人)強行帶走	(在市場上)銷售	結婚	精通
market	(在市場上)銷售	結婚	精通	相配
marry	結婚	精通	相配	事情
master 	精通	相配	事情	可能
match 	相配	事情	可能	可能
matter 	事情	可能	可能	可能;也許
May	可能	可能	可能;也許	我
may	可能	可能;也許	我	表示
maybe	可能;也許	我	表示	肉類
me	我	表示	肉類	遇見
mean 	表示	肉類	遇見	中間的
meat	肉類	遇見	中間的	英哩
meet	遇見	中間的	英哩	牛奶
middle	中間的	英哩	牛奶	頭腦，大腦
mile	英哩	牛奶	頭腦，大腦	分鐘
milk	牛奶	頭腦，大腦	分鐘	想念
mind	頭腦，大腦	分鐘	想念	想念
minute	分鐘	想念	想念	弄錯,誤解;弄錯,搞錯
miss	想念	想念	弄錯,誤解;弄錯,搞錯	片刻
Miss/miss	想念	弄錯,誤解;弄錯,搞錯	片刻	母親
mistake	弄錯,誤解;弄錯,搞錯	片刻	母親	星期一
moment	片刻	母親	星期一	錢
mommy/momma/mom/	母親	星期一	錢	猴子
Monday/Mon.	星期一	錢	猴子	月份
money	錢	猴子	月份	月亮
monkey	猴子	月份	月亮	更多的
month	月份	月亮	更多的	早晨
moon	月亮	更多的	早晨	最多的;大部分的
more	更多的	早晨	最多的;大部分的	母親
morning	早晨	最多的;大部分的	母親	山
most	最多的;大部分的	母親	山	老鼠
mother	母親	山	老鼠	嘴
mountain	山	老鼠	嘴	移動
mouse	老鼠	嘴	移動	電影
mouth	嘴	移動	電影	先生
move	移動	電影	先生	太太
