sixty	六十	按一定尺寸製作;估算	技能	皮膚
size	按一定尺寸製作;估算	技能	皮膚	天空
skill	技能	皮膚	天空	睡覺
skin	皮膚	天空	睡覺	緩慢的
sky	天空	睡覺	緩慢的	小的
sleep	睡覺	緩慢的	小的	聰明的
slow	緩慢的	小的	聰明的	聞
small	小的	聰明的	聞	微笑
smart	聰明的	聞	微笑	抽煙;冒煙
smell	聞	微笑	抽煙;冒煙	蛇
smile	微笑	抽煙;冒煙	蛇	下雪
smoke	抽煙;冒煙	蛇	下雪	所以
snake	蛇	下雪	所以	肥皂
snow	下雪	所以	肥皂	汽水
so 	所以	肥皂	汽水	沙發
soap	肥皂	汽水	沙發	柔軟的
soda	汽水	沙發	柔軟的	泥土
sofa	沙發	柔軟的	泥土	一些的
soft	柔軟的	泥土	一些的	某人
soil	泥土	一些的	某人	某人;某事;重要的人(或事物);
some	一些的	某人	某人;某事;重要的人(或事物);	有時候
someone	某人	某人;某事;重要的人(或事物);	有時候	兒子
something	某人;某事;重要的人(或事物);	有時候	兒子	歌曲
sometimes	有時候	兒子	歌曲	即刻
son	兒子	歌曲	即刻	對不起
song	歌曲	即刻	對不起	靈魂
soon	即刻	對不起	靈魂	聲音
sorry	對不起	靈魂	聲音	湯
soul	靈魂	聲音	湯	酸的
sound 	聲音	湯	酸的	南方
soup	湯	酸的	南方	隔開
sour	酸的	南方	隔開	講
south	南方	隔開	講	特別的
space	隔開	講	特別的	言論;演講
speak	講	特別的	言論;演講	拼字
special	特別的	言論;演講	拼字	花費(錢或時間)
speech	言論;演講	拼字	花費(錢或時間)	湯匙
spell	拼字	花費(錢或時間)	湯匙	炫耀;誇示;遊戲,;開玩笑,嘲弄;突變
spend	花費(錢或時間)	湯匙	炫耀;誇示;遊戲,;開玩笑,嘲弄;突變	彈跳
spoon	湯匙	炫耀;誇示;遊戲,;開玩笑,嘲弄;突變	彈跳	樓梯
