seven	七	十七	七十	幾個的
seventeen	十七	七十	幾個的	搖動;握(手)
seventy	七十	幾個的	搖動;握(手)	應該
several	幾個的	搖動;握(手)	應該	形狀
shake	搖動;握(手)	應該	形狀	鯊魚
shall	應該	形狀	鯊魚	尖銳的
shape	形狀	鯊魚	尖銳的	她
shark	鯊魚	尖銳的	她	綿羊
sharp	尖銳的	她	綿羊	床單
she 	她	綿羊	床單	照耀
sheep	綿羊	床單	照耀	船
sheet	床單	照耀	船	襯衫
shine	照耀	船	襯衫	鞋子
ship	船	襯衫	鞋子	購物
shirt	襯衫	鞋子	購物	購物
shoe	鞋子	購物	購物	岸邊
shop 	購物	購物	岸邊	矮的
shop 	購物	岸邊	矮的	打針
shore	岸邊	矮的	打針	肩膀
short	矮的	打針	肩膀	呼叫
shot	打針	肩膀	呼叫	表演;顯示
shoulder	肩膀	呼叫	表演;顯示	關閉
shout	呼叫	表演;顯示	關閉	害羞的
show	表演;顯示	關閉	害羞的	生病的
shut	關閉	害羞的	生病的	邊
shy	害羞的	生病的	邊	看見,發現;瞄準;察看
sick	生病的	邊	看見,發現;瞄準;察看	傻的;無聊的
side	邊	看見,發現;瞄準;察看	傻的;無聊的	銀
sight	看見,發現;瞄準;察看	傻的;無聊的	銀	簡單的
silly	傻的;無聊的	銀	簡單的	從
silver	銀	簡單的	從	唱歌
simple	簡單的	從	唱歌	歌手
since	從	唱歌	歌手	先生
sing	唱歌	歌手	先生	姊妹
singer	歌手	先生	姊妹	坐
sir	先生	姊妹	坐	六
sister	姊妹	坐	六	十六
sit	坐	六	十六	六十
six	六	十六	六十	按一定尺寸製作;估算
sixteen	十六	六十	按一定尺寸製作;估算	技能
