movie/	電影	先生	太太	小姐
Mr./mister	先生	太太	小姐	很多的
Mrs.	太太	小姐	很多的	泥巴
Ms.	小姐	很多的	泥巴	馬克杯
much	很多的	泥巴	馬克杯	音樂
mud	泥巴	馬克杯	音樂	必須
mug	馬克杯	音樂	必須	我的
music	音樂	必須	我的	給...取名;列舉
must	必須	我的	給...取名;列舉	國家
my	我的	給...取名;列舉	國家	自然
name	給...取名;列舉	國家	自然	在～旁
nation	國家	自然	在～旁	脖子
nature	自然	在～旁	脖子	需要
near	在～旁	脖子	需要	永不
neck	脖子	需要	永不	新的
need	需要	永不	新的	新聞
never	永不	新的	新聞	報紙
new	新的	新聞	報紙	下一個
news	新聞	報紙	下一個	好的
newspaper	報紙	下一個	好的	夜晚
next	下一個	好的	夜晚	九
nice	好的	夜晚	九	十九
night	夜晚	九	十九	九十
nine	九	十九	九十	不
nineteen	十九	九十	不	噪音
ninety	九十	不	噪音	喧鬧的
no/nope	不	噪音	喧鬧的	中午
noise	噪音	喧鬧的	中午	亦不
noisy	喧鬧的	中午	亦不	北方
noon	中午	亦不	北方	鼻子
nor	亦不	北方	鼻子	不
north	北方	鼻子	不	注意;記下
nose	鼻子	不	注意;記下	沒什麼事
not	不	注意;記下	沒什麼事	注意到;通知
note	注意;記下	沒什麼事	注意到;通知	十一月
nothing	沒什麼事	注意到;通知	十一月	現在
notice	注意到;通知	十一月	現在	編號,總數達到,共計
November/Nov.	十一月	現在	編號,總數達到,共計	護士
now	現在	編號,總數達到,共計	護士	可以的;不錯的;很好的
number	編號,總數達到,共計	護士	可以的;不錯的;很好的	點
