wall	用牆圍住	想要	戰爭	溫暖的
want	想要	戰爭	溫暖的	洗
war	戰爭	溫暖的	洗	浪費
warm	溫暖的	洗	浪費	手錶
wash	洗	浪費	手錶	水
waste	浪費	手錶	水	方法;路
watch 	手錶	水	方法;路	我們
water	水	方法;路	我們	虛弱的
way	方法;路	我們	虛弱的	穿著, 磨損, 使力竭
we	我們	虛弱的	穿著, 磨損, 使力竭	經受到;使風化;損壞
weak	虛弱的	穿著, 磨損, 使力竭	經受到;使風化;損壞	婚禮
wear	穿著, 磨損, 使力竭	經受到;使風化;損壞	婚禮	星期三
weather	經受到;使風化;損壞	婚禮	星期三	星期
wedding	婚禮	星期三	星期	度週末
Wednesday/Wed./Weds.	星期三	星期	度週末	稱重
week	星期	度週末	稱重	重量
weekend	度週末	稱重	重量	受歡迎的;令人愉快的;被允許的
weigh	稱重	重量	受歡迎的;令人愉快的;被允許的	好
weight	重量	受歡迎的;令人愉快的;被允許的	好	西方
welcome	受歡迎的;令人愉快的;被允許的	好	西方	什麼
well 	好	西方	什麼	何時
west	西方	什麼	何時	在哪兒
what	什麼	何時	在哪兒	是否
when	何時	在哪兒	是否	哪一個
where	在哪兒	是否	哪一個	在…的時候；與…同時
whether	是否	哪一個	在…的時候；與…同時	白色
which	哪一個	在…的時候；與…同時	白色	誰
while 	在…的時候；與…同時	白色	誰	完整的
white	白色	誰	完整的	代替人
who	誰	完整的	代替人	代替事物
whole	完整的	代替人	代替事物	為什麼
whom	代替人	代替事物	為什麼	寛的
whose	代替事物	為什麼	寛的	妻子
why	為什麼	寛的	妻子	將要
wide	寛的	妻子	將要	贏得
wife	妻子	將要	贏得	風
will 	將要	贏得	風	窗戶
win	贏得	風	窗戶	酒
wind 	風	窗戶	酒	冬天
window	窗戶	酒	冬天	祝福
