制裁 (せいさい)	sanctions	good result	normalcy	declaration
成果 (せいか)	good result	normalcy	declaration	being in the red
正常 (せいじょう)	normalcy	declaration	being in the red	establishment
声明 (せいめい)	declaration	being in the red	establishment	battle
赤字 (あかじ)	being in the red	establishment	battle	preamble
設置 (せっち)	establishment	battle	preamble	litigation
戦闘 (せんとう)	battle	preamble	litigation	personal experience
前提 (ぜんてい)	preamble	litigation	personal experience	dialogue
訴訟 (そしょう)	litigation	personal experience	dialogue	delay
体験 (たいけん)	personal experience	dialogue	delay	pillar
対話 (たいわ)	dialogue	delay	pillar	secretary 
遅れ (おくれ)	delay	pillar	secretary 	usual
柱 (はしら)	pillar	secretary 	usual	being elected 
長官 (ちょうかん)	secretary 	usual	being elected 	integration
通常 (つうじょう)	usual	being elected 	integration	introduction
当選 (とうせん)	being elected 	integration	introduction	original
統合 (とうごう)	integration	introduction	original	interior
導入 (どうにゅう)	introduction	original	interior	recognition
独自 (どくじ)	original	interior	recognition	opposition
内部 (ないぶ)	interior	recognition	opposition	proportion
認識 (にんしき)	recognition	opposition	proportion	private secretary 
反発 (はんぱつ)	opposition	proportion	private secretary 	art
比例 (ひれい)	proportion	private secretary 	art	real estate
秘書 (ひしょ)	private secretary 	art	real estate	unclear
美術 (びじゅつ)	art	real estate	unclear	burden
不動産 (ふどうさん)	real estate	unclear	burden	arms
不明 (ふめい)	unclear	burden	arms	armed might
負担 (ふたん)	burden	arms	armed might	welfare
武装 (ぶそう)	arms	armed might	welfare	dispute
武力 (ぶりょく)	armed might	welfare	dispute	insurance
福祉 (ふくし)	welfare	dispute	insurance	maintenance 
紛争 (ふんそう)	dispute	insurance	maintenance 	collapse
保険 (ほけん)	insurance	maintenance 	collapse	bill 
保守 (ほしゅ)	maintenance 	collapse	bill 	honor
崩壊 (ほうかい)	collapse	bill 	honor	to ask
法案 (ほうあん)	bill 	honor	to ask	influential
名誉 (めいよ)	honor	to ask	influential	financing
問う (とう)	to ask	influential	financing	expectation
有力 (ゆうりょく)	influential	financing	expectation	appeal
融資 (ゆうし)	financing	expectation	appeal	discussion
