就業 (しゅうぎょう)	employment	completion 	sailing	exhibit
修了 (しゅうりょう)	completion 	sailing	exhibit	whereabouts
出動 (しゅつどう)	sailing	exhibit	whereabouts	possession
出品 (しゅっぴん)	exhibit	whereabouts	possession	news 
所在 (しょざい)	whereabouts	possession	news 	believer
所持 (しょじ)	possession	news 	believer	oscillation
消息 (しょうそく)	news 	believer	oscillation	to deepen
信者 (しんじゃ)	believer	oscillation	to deepen	duty
振動 (しんどう)	oscillation	to deepen	duty	simple
深める (ふかめる)	to deepen	duty	simple	ornament
責務 (せきむ)	duty	simple	ornament	settlement
素朴 (そぼく)	simple	ornament	settlement	elasticity
装飾 (そうしょく)	ornament	settlement	elasticity	assertion
妥結 (だけつ)	settlement	elasticity	assertion	interruption
弾力 (だんりょく)	elasticity	assertion	interruption	poisoning 
断言 (だんげん)	assertion	interruption	poisoning 	presentation
中断 (ちゅうだん)	interruption	poisoning 	presentation	genius
中毒 (ちゅうどく)	poisoning 	presentation	genius	job transfer
提示 (ていじ)	presentation	genius	job transfer	the country
天才 (てんさい)	genius	job transfer	the country	source of electricity
転勤 (てんきん)	job transfer	the country	source of electricity	foundation
田園 (でんえん)	the country	source of electricity	foundation	shaking
電源 (でんげん)	source of electricity	foundation	shaking	privilege
土台 (どだい)	foundation	shaking	privilege	the body
動揺 (どうよう)	shaking	privilege	the body	fixed date
特権 (とっけん)	privilege	the body	fixed date	woodcut
肉体 (にくたい)	the body	fixed date	woodcut	shriek
日取り (ひどり)	fixed date	woodcut	shriek	blockade 
版画 (はんが)	woodcut	shriek	blockade 	dispersion
悲鳴 (ひめい)	shriek	blockade 	dispersion	convenience
封鎖 (ふうさ)	blockade 	dispersion	convenience	to grow violent
分散 (ぶんさん)	dispersion	convenience	to grow violent	to satisfy 
便宜 (べんぎ)	convenience	to grow violent	to satisfy 	silence
募る (つのる)	to grow violent	to satisfy 	silence	without permission
満たす (みたす)	to satisfy 	silence	without permission	model
無言 (むごん)	silence	without permission	model	superiority
無断 (むだん)	without permission	model	superiority	abuse
模型 (もけい)	model	superiority	abuse	senility
優勢 (ゆうせい)	superiority	abuse	senility	clue
乱用 (らんよう)	abuse	senility	clue	magnificent
