関与 (かんよ)	participation	weather	topic of discussion	provision of lunch 
気象 (きしょう)	weather	topic of discussion	provision of lunch 	residence
議題 (ぎだい)	topic of discussion	provision of lunch 	residence	fishing boat
給食 (きゅうしょく)	provision of lunch 	residence	fishing boat	teacher
居住 (きょじゅう)	residence	fishing boat	teacher	extreme
漁船 (ぎょせん)	fishing boat	teacher	extreme	penalty
教員 (きょういん)	teacher	extreme	penalty	form
極端 (きょくたん)	extreme	penalty	form	publication 
刑 (けい)	penalty	form	publication 	something carried 
形態 (けいたい)	form	publication 	something carried 	troupe
掲載 (けいさい)	publication 	something carried 	troupe	healthy
携帯 (けいたい)	something carried 	troupe	healthy	authority
劇団 (げきだん)	troupe	healthy	authority	original work
健全 (けんぜん)	healthy	authority	original work	limit
権威 (けんい)	authority	original work	limit	ancient times
原作 (げんさく)	original work	limit	ancient times	retreat
限定 (げんてい)	limit	ancient times	retreat	delivery
古代 (こだい)	ancient times	retreat	delivery	engineering
後退 (こうたい)	retreat	delivery	engineering	dispute
交付 (こうふ)	delivery	engineering	dispute	to be temperate in
工学 (こうがく)	engineering	dispute	to be temperate in	attack
抗争 (こうそう)	dispute	to be temperate in	attack	country
控える (ひかえる)	to be temperate in	attack	country	root
攻め (せめ)	attack	country	root	cultivation
国土 (こくど)	country	root	cultivation	inventory
根本 (こんぽん)	root	cultivation	inventory	House of Councillors 
栽培 (さいばい)	cultivation	inventory	House of Councillors 	bank balance
在庫 (ざいこ)	inventory	House of Councillors 	bank balance	inspection
参議院 (さんぎいん)	House of Councillors 	bank balance	inspection	matter
残高 (ざんだか)	bank balance	inspection	matter	section of village
視察 (しさつ)	inspection	matter	section of village	question 
事項 (じこう)	matter	section of village	question 	lawn
字 (あざ)	section of village	question 	lawn	starring
質疑 (しつぎ)	question 	lawn	starring	protagonist
芝 (しば)	lawn	starring	protagonist	all day
主演 (しゅえん)	starring	protagonist	all day	symbol
主人公 (しゅじんこう)	protagonist	all day	symbol	sky
終日 (しゅうじつ)	all day	symbol	sky	one's superior
象徴 (しょうちょう)	symbol	sky	one's superior	colour
上空 (じょうくう)	sky	one's superior	colour	route
