デザート	dessert 	design	trouble	dry 
デザイン	design	trouble	dry 	drill bit
トラブル	trouble	dry 	drill bit	nuance
ドライ	dry 	drill bit	nuance	neurosis
ドリル	drill bit	nuance	neurosis	badge
ニュアンス	nuance	neurosis	badge	bat 
ノイローゼ	neurosis	badge	bat 	pajamas
バッジ	badge	bat 	pajamas	pachinko
バット	bat 	pajamas	pachinko	patrol car
パジャマ	pajamas	pachinko	patrol car	puncture
パチンコ	pachinko	patrol car	puncture	hint
パトカー	patrol car	puncture	hint	business
パンク	puncture	hint	business	fan
ヒント	hint	business	fan	front 
ビジネス	business	fan	front 	boom
ファン	fan	front 	boom	best 
フロント	front 	boom	best 	hall 
ブーム	boom	best 	hall 	pot 
ベスト	best 	hall 	pot 	mark
ホール	hall 	pot 	mark	mass communication
ポット	pot 	mark	mass communication	Mrs
マーク	mark	mass communication	Mrs	music
マスコミ	mass communication	Mrs	music	mood
ミセス	Mrs	music	mood	manufacturer
ミュージック	music	mood	manufacturer	message
ムード	mood	manufacturer	message	media
メーカー	manufacturer	message	media	melody 
メッセージ	message	media	melody 	rule
メディア	media	melody 	rule	regular 
メロディー	melody 	rule	regular 	X-ray 
ルール	rule	regular 	X-ray 	rope
レギュラー	regular 	X-ray 	rope	romantic
レントゲン	X-ray 	rope	romantic	watt
ロープ	rope	romantic	watt	one breath
ロマンチック	romantic	watt	one breath	one defeat
ワット	watt	one breath	one defeat	emergency
一息 (ひといき)	one breath	one defeat	emergency	please
一敗 (いっぱい)	one defeat	emergency	please	seasoning
応急 (おうきゅう)	emergency	please	seasoning	the end
何卒 (なにとぞ)	please	seasoning	the end	class
