同志 (どうし)	like-mindedness	conception	agricultural land	exclusion
妊娠 (にんしん)	conception	agricultural land	exclusion	echo
農地 (のうち)	agricultural land	exclusion	echo	counterattack
排除 (はいじょ)	exclusion	echo	counterattack	material quality
反響 (はんきょう)	echo	counterattack	material quality	poverty
反撃 (はんげき)	counterattack	material quality	poverty	indispensable
品質 (ひんしつ)	material quality	poverty	indispensable	debt
貧困 (ひんこん)	poverty	indispensable	debt	taking on one's share 
不可欠 (ふかけつ)	indispensable	debt	taking on one's share 	radioactivity
負債 (ふさい)	debt	taking on one's share 	radioactivity	disturbance
分担 (ぶんたん)	taking on one's share 	radioactivity	disturbance	insurrection
放射能 (ほうしゃのう)	radioactivity	disturbance	insurrection	invalid
妨害 (ぼうがい)	disturbance	insurrection	invalid	aspect
暴動 (ぼうどう)	insurrection	invalid	aspect	blank form 
無効 (むこう)	invalid	aspect	blank form 	training
様相 (ようそう)	aspect	blank form 	training	comprehension
用紙 (ようし)	blank form 	training	comprehension	consecutive holidays
養成 (ようせい)	training	comprehension	consecutive holidays	solidarity 
了解 (りょうかい)	comprehension	consecutive holidays	solidarity 	tree trunk
連休 (れんきゅう)	consecutive holidays	solidarity 	tree trunk	price
連帯 (れんたい)	solidarity 	tree trunk	price	essential
幹 (みき)	tree trunk	price	essential	individual
値 (あたい)	price	essential	individual	counter for suits of clothing 
肝心 (かんじん)	essential	individual	counter for suits of clothing 	salary
個々 (ここ)	individual	counter for suits of clothing 	salary	report
着 (ちゃく)	counter for suits of clothing 	salary	report	along
手当 (てあて)	salary	report	along	hold
届 (とどけ)	report	along	hold	entrusting 
沿い (ぞい)	along	hold	entrusting 	clothing
持ち (もち)	hold	entrusting 	clothing	whole area
委託 (いたく)	entrusting 	clothing	whole area	uniform
衣料 (いりょう)	clothing	whole area	uniform	low rank
一帯 (いったい)	whole area	uniform	low rank	fossil 
一律 (いちりつ)	uniform	low rank	fossil 	improvement
下位 (かい)	low rank	fossil 	improvement	storey
化石 (かせき)	fossil 	improvement	storey	arts and sciences
改良 (かいりょう)	improvement	storey	arts and sciences	publication
階 (かい)	storey	arts and sciences	publication	customary practice
学芸 (がくげい)	arts and sciences	publication	customary practice	loose
刊行 (かんこう)	publication	customary practice	loose	union
