唱える (となえる)	to recite	proof	unmarried woman 	to propose
証 (あかし)	proof	unmarried woman 	to propose	in two equal parts
嬢 (じょう)	unmarried woman 	to propose	in two equal parts	just above
申し入れる (もうしいれる)	to propose	in two equal parts	just above	temple
真っ二つ (まっぷたつ)	in two equal parts	just above	temple	barely
真上 (まうえ)	just above	temple	barely	progress
神殿 (しんでん)	temple	barely	progress	water content
かろうじて (辛うじて)	barely	progress	water content	birth and growth
進み (すすみ)	progress	water content	birth and growth	elaborate
水気 (みずけ)	water content	birth and growth	elaborate	manufacturing method
生育 (せいいく)	birth and growth	elaborate	manufacturing method	previous generation 
精巧 (せいこう)	elaborate	manufacturing method	previous generation 	diving
製法 (せいほう)	manufacturing method	previous generation 	diving	small dining table 
先代 (せんだい)	previous generation 	diving	small dining table 	make-up
潜水 (せんすい)	diving	small dining table 	make-up	immediately
膳 (ぜん)	small dining table 	make-up	immediately	majority decision
造り (つくり)	make-up	immediately	majority decision	to stop
即座に (そくざに)	immediately	majority decision	to stop	to wear 
多数決 (たすうけつ)	majority decision	to stop	to wear 	negligence
打ち切る (うちきる)	to stop	to wear 	negligence	heavens
帯びる (おびる)	to wear 	negligence	heavens	prefix for forming ordinal numbers
怠慢 (たいまん)	negligence	heavens	prefix for forming ordinal numbers	in good health
大空 (おおぞら)	heavens	prefix for forming ordinal numbers	in good health	to escape from
第 (だい)	prefix for forming ordinal numbers	in good health	to escape from	to arrive at 
達者 (たっしゃ)	in good health	to escape from	to arrive at 	cross-section
脱する (だっする)	to escape from	to arrive at 	cross-section	paper patch
たどり着く (たどりつく)	to arrive at 	cross-section	paper patch	crown 
断面 (だんめん)	cross-section	paper patch	crown 	connoisseur
張り紙 (はりがみ)	paper patch	crown 	connoisseur	feudal lord
頂 (いただき)	crown 	connoisseur	feudal lord	migratory bird
通 (つう)	connoisseur	feudal lord	migratory bird	to throw down
殿様 (とのさま)	feudal lord	migratory bird	to throw down	stealing
渡り鳥 (わたりどり)	migratory bird	to throw down	stealing	originality
投げ出す (なげだす)	to throw down	stealing	originality	to read out
盗み (ぬすみ)	stealing	originality	to read out	civil war
独創 (どくそう)	originality	to read out	civil war	particle
読み上げる (よみあげる)	to read out	civil war	particle	minuscule amount
内乱 (ないらん)	civil war	particle	minuscule amount	bad reputation
微塵 (みじん)	particle	minuscule amount	bad reputation	wealthy person
微量 (びりょう)	minuscule amount	bad reputation	wealthy person	edict
不評 (ふひょう)	bad reputation	wealthy person	edict	to go in the direction of
富豪 (ふごう)	wealthy person	edict	to go in the direction of	custom
布告 (ふこく)	edict	to go in the direction of	custom	public discussion
赴く (おもむく)	to go in the direction of	custom	public discussion	minute 
風習 (ふうしゅう)	custom	public discussion	minute 	spewing
物議 (ぶつぎ)	public discussion	minute 	spewing	hard struggle
分 (ふん)	minute 	spewing	hard struggle	compilation 
噴出 (ふんしゅつ)	spewing	hard struggle	compilation 	storm
奮闘 (ふんとう)	hard struggle	compilation 	storm	forfeiture
編 (へん)	compilation 	storm	forfeiture	pension
暴風 (ぼうふう)	storm	forfeiture	pension	grace
没収 (ぼっしゅう)	forfeiture	pension	grace	nomadism
民宿 (みんしゅく)	pension	grace	nomadism	to shake
優美 (ゆうび)	grace	nomadism	to shake	solution 
遊牧 (ゆうぼく)	nomadism	to shake	solution 	profit
揺さぶる (ゆさぶる)	to shake	solution 	profit	ah!
溶液 (ようえき)	solution 	profit	ah!	fourth sign of the Chinese zodiac 
利潤 (りじゅん)	profit	ah!	fourth sign of the Chinese zodiac 	heaven and earth
ああ (嗚呼)	ah!	fourth sign of the Chinese zodiac 	heaven and earth	bargain sale
卯 (う)	fourth sign of the Chinese zodiac 	heaven and earth	bargain sale	and so on
天地 (てんち)	heaven and earth	bargain sale	and so on	gap
売り出し (うりだし)	bargain sale	and so on	gap	casual
云々 (うんぬん)	and so on	gap	casual	to fit
切れ目 (きれめ)	gap	casual	to fit	every other week
何気ない (なにげない)	casual	to fit	every other week	to show signs of being
はまる (嵌まる)	to fit	every other week	to show signs of being	nectar 
隔週 (かくしゅう)	every other week	to show signs of being	nectar 	weave
がる	to show signs of being	nectar 	weave	moat
蜜 (みつ)	nectar 	weave	moat	accelerator 
織り (おり)	weave	moat	accelerator 	approach 
壕 (ごう)	moat	accelerator 	approach 	Arab
アクセル	accelerator 	approach 	Arab	hour
アプローチ	approach 	Arab	hour	encore
アラブ	Arab	hour	encore	Jesus 
アワー	hour	encore	Jesus 	international
アンコール	encore	Jesus 	international	information
イエス	Jesus 	international	information	elegant
インターナショナル	international	information	elegant	engineer
インフォメーション	information	elegant	engineer	automatic
エレガント	elegant	engineer	automatic	orientation
エンジニア	engineer	automatic	orientation	online
オートマチック	automatic	orientation	online	cocktail
オリエンテーション	orientation	online	cocktail	cut
オンライン	online	cocktail	cut	comeback
カクテル	cocktail	cut	comeback	patient's chart
カット	cut	comeback	patient's chart	guidebook
カムバック	comeback	patient's chart	guidebook	catch
カルテ	patient's chart	guidebook	catch	career 
ガイドブック	guidebook	catch	career 	nightclub 
キャッチ	catch	career 	nightclub 	crane
キャリア	career 	nightclub 	crane	grey 
クラブ	nightclub 	crane	grey 	guest
クレーン	crane	grey 	guest	comment 
グレー	grey 	guest	comment 	contact 
ゲスト	guest	comment 	contact 	contrast
コメント	comment 	contact 	contrast	control
コンタクト	contact 	contrast	control	pair of compasses
コントラスト	contrast	control	pair of compasses	cycle
コントロール	control	pair of compasses	cycle	thank you
コンパス	pair of compasses	cycle	thank you	Santa Claus
サイクル	cycle	thank you	Santa Claus	chic 
サンキュー	thank you	Santa Claus	chic 	show
サンタクロース	Santa Claus	chic 	show	short jacket
シック	chic 	show	short jacket	jumbo
ショー	show	short jacket	jumbo	genre
ジャンパー	short jacket	jumbo	genre	steam
ジャンボ	jumbo	genre	steam	drinking straw 
ジャンル	genre	steam	drinking straw 	stroboscope
スチーム	steam	drinking straw 	stroboscope	spring
ストロー	drinking straw 	stroboscope	spring	space 
ストロボ	stroboscope	spring	space 	sports car
スプリング	spring	space 	sports car	slacks
