共産 (きょうさん)	communism 	firm	formation	details
強硬 (きょうこう)	firm	formation	details	passage 
形成 (けいせい)	formation	details	passage 	ruler
経緯 (いきさつ)	details	passage 	ruler	origin 
経過 (けいか)	passage 	ruler	origin 	atomic bomb
元首 (げんしゅ)	ruler	origin 	atomic bomb	public 
原点 (げんてん)	origin 	atomic bomb	public 	domestic
原爆 (げんばく)	atomic bomb	public 	domestic	fraud
公立 (こうりつ)	public 	domestic	fraud	oxidation
国産 (こくさん)	domestic	fraud	oxidation	intention
詐欺 (さぎ)	fraud	oxidation	intention	death penalty
酸化 (さんか)	oxidation	intention	death penalty	field of vision
志向 (しこう)	intention	death penalty	field of vision	truth
死刑 (しけい)	death penalty	field of vision	truth	person in charge
視野 (しや)	field of vision	truth	person in charge	technique
実 (じつ)	truth	person in charge	technique	establish
主任 (しゅにん)	person in charge	technique	establish	earnings
手法 (しゅほう)	technique	establish	earnings	childbirth
樹立 (じゅりつ)	establish	earnings	childbirth	masses
収益 (しゅうえき)	earnings	childbirth	masses	furthermore
出産 (しゅっさん)	childbirth	masses	furthermore	illness
庶民 (しょみん)	masses	furthermore	illness	shock
なお (尚)	furthermore	illness	shock	concession
症 (しょう)	illness	shock	concession	report
衝撃 (しょうげき)	shock	concession	report	truth
譲歩 (じょうほ)	concession	report	truth	diagnosis and treatment
申告 (しんこく)	report	truth	diagnosis and treatment	household
真相 (しんそう)	truth	diagnosis and treatment	household	touch
診療 (しんりょう)	diagnosis and treatment	household	touch	tactics
世帯 (せたい)	household	touch	tactics	fibre
接触 (せっしょく)	touch	tactics	fibre	lawsuit
戦術 (せんじゅつ)	tactics	fibre	lawsuit	search 
繊維 (せんい)	fibre	lawsuit	search 	side
訴え (うったえ)	lawsuit	search 	side	stamina
捜索 (そうさく)	search 	side	stamina	general public
側面 (そくめん)	side	stamina	general public	achievement
体力 (たいりょく)	stamina	general public	achievement	junior college
大衆 (たいしゅう)	general public	achievement	junior college	relay
達成 (たっせい)	achievement	junior college	relay	to herd
短大 (たんだい)	junior college	relay	to herd	investigation 
