推進 (すいしん)	propulsion	influence	political administration	political measures
勢力 (せいりょく)	influence	political administration	political measures	declaration
政権 (せいけん)	political administration	political measures	declaration	election
政策 (せいさく)	political measures	declaration	election	measure
宣言 (せんげん)	declaration	election	measure	search 
選挙 (せんきょ)	election	measure	search 	general meeting
措置 (そち)	measure	search 	general meeting	correspondence 
捜査 (そうさ)	search 	general meeting	correspondence 	big
総会 (そうかい)	general meeting	correspondence 	big	home area
対応 (たいおう)	correspondence 	big	home area	investigation
大幅 (おおはば)	big	home area	investigation	investment
地元 (じもと)	home area	investigation	investment	movement
調べ (しらべ)	investigation	investment	movement	cabinet 
投資 (とうし)	investment	movement	cabinet 	dispatch
動き (うごき)	movement	cabinet 	dispatch	background
内閣 (ないかく)	cabinet 	dispatch	background	statement
派遣 (はけん)	dispatch	background	statement	judicial decision
背景 (はいけい)	background	statement	judicial decision	recession
発言 (はつげん)	statement	judicial decision	recession	division 
判決 (はんけつ)	judicial decision	recession	division 	protection
不況 (ふきょう)	recession	division 	protection	information
部門 (ぶもん)	division 	protection	information	defense
保護 (ほご)	protection	information	defense	democracy
報道 (ほうどう)	information	defense	democracy	opposition party
防衛 (ぼうえい)	defense	democracy	opposition party	ruling party
民主 (みんしゅ)	democracy	opposition party	ruling party	dominion
野党 (やとう)	opposition party	ruling party	dominion	commonwealth
与党 (よとう)	ruling party	dominion	commonwealth	intention
領土 (りょうど)	dominion	commonwealth	intention	male 
連邦 (れんぽう)	commonwealth	intention	male 	synthesis
意向 (いこう)	intention	male 	synthesis	transactions
おす (雄)	male 	synthesis	transactions	unobstructed view
総合 (そうごう)	synthesis	transactions	unobstructed view	people
取引 (とりひき)	transactions	unobstructed view	people	management
見通し (みとおし)	unobstructed view	people	management	reflection
民族 (みんぞく)	people	management	reflection	holding 
運営 (うんえい)	management	reflection	holding 	pit 
映像 (えいぞう)	reflection	holding 	pit 	guarantee
開催 (かいさい)	holding 	pit 	guarantee	revolution 
核 (かく)	pit 	guarantee	revolution 	bureaucrat
