棄権 (きけん)	abstention 	standard	mention 	technical skill
規格 (きかく)	standard	mention 	technical skill	resolution
記載 (きさい)	mention 	technical skill	resolution	to reach
技能 (ぎのう)	technical skill	resolution	to reach	palace
議決 (ぎけつ)	resolution	to reach	palace	to strengthen
及ぶ (およぶ)	to reach	palace	to strengthen	teaching materials
宮殿 (きゅうでん)	palace	to strengthen	teaching materials	threat
強める (つよめる)	to strengthen	teaching materials	threat	surprise
教材 (きょうざい)	teaching materials	threat	surprise	equilibrium
脅迫 (きょうはく)	threat	surprise	equilibrium	ward
驚き (おどろき)	surprise	equilibrium	ward	personal history
均衡 (きんこう)	equilibrium	ward	personal history	to harden
区 (く)	ward	personal history	to harden	characteristic
経歴 (けいれき)	personal history	to harden	characteristic	solitude
固める (かためる)	to harden	characteristic	solitude	public appeal 
固有 (こゆう)	characteristic	solitude	public appeal 	flood
孤独 (こどく)	solitude	public appeal 	flood	voyage
公募 (こうぼ)	public appeal 	flood	voyage	action
洪水 (こうずい)	flood	voyage	action	errand
航海 (こうかい)	voyage	action	errand	self-consciousness
作用 (さよう)	action	errand	self-consciousness	slope
使い (つかい)	errand	self-consciousness	slope	easy
自覚 (じかく)	self-consciousness	slope	easy	process
斜面 (しゃめん)	slope	easy	process	tree
手軽 (てがる)	easy	process	tree	beginning and end 
手順 (てじゅん)	process	tree	beginning and end 	bleeding
樹木 (じゅもく)	tree	beginning and end 	bleeding	details
終始 (しゅうし)	beginning and end 	bleeding	details	height
出血 (しゅっけつ)	bleeding	details	height	gentleman
詳細 (しょうさい)	details	height	gentleman	friendship
丈 (たけ)	height	gentleman	friendship	personality
紳士 (しんし)	gentleman	friendship	personality	indeed
親善 (しんぜん)	friendship	personality	indeed	despair
人柄 (ひとがら)	personality	indeed	despair	precedent
誠に (まことに)	indeed	despair	precedent	duration
絶望 (ぜつぼう)	despair	precedent	duration	starting 
前例 (ぜんれい)	precedent	duration	starting 	harmony
存続 (そんぞく)	duration	starting 	harmony	silence
着工 (ちゃっこう)	starting 	harmony	silence	tsunami
調和 (ちょうわ)	harmony	silence	tsunami	fall
