対等 (たいとう)	equality 	outline	single	unity
大筋 (おおすじ)	outline	single	unity	centre
単一 (たんいつ)	single	unity	centre	well-known
団結 (だんけつ)	unity	centre	well-known	stagnation
中枢 (ちゅうすう)	centre	well-known	stagnation	paradise
著名 (ちょめい)	well-known	stagnation	paradise	mobilization
停滞 (ていたい)	stagnation	paradise	mobilization	sympathy
天国 (てんごく)	paradise	mobilization	sympathy	appointment
動員 (どういん)	mobilization	sympathy	appointment	farm 
同情 (どうじょう)	sympathy	appointment	farm 	distribution 
任命 (にんめい)	appointment	farm 	distribution 	spouse
農場 (のうじょう)	farm 	distribution 	spouse	magnification
配給 (はいきゅう)	distribution 	spouse	magnification	destructive blast
配偶者 (はいぐうしゃ)	spouse	magnification	destructive blast	fit
倍率 (ばいりつ)	magnification	destructive blast	fit	breeding
爆破 (ばくは)	destructive blast	fit	breeding	disastrous
発作 (ほっさ)	fit	breeding	disastrous	to be a match for
繁殖 (はんしょく)	breeding	disastrous	to be a match for	incomplete understanding
悲惨 (ひさん)	disastrous	to be a match for	incomplete understanding	bad condition
匹敵 (ひってき)	to be a match for	incomplete understanding	bad condition	dissatisfaction
不審 (ふしん)	incomplete understanding	bad condition	dissatisfaction	manners
不調 (ふちょう)	bad condition	dissatisfaction	manners	restoration
不服 (ふふく)	dissatisfaction	manners	restoration	division
風俗 (ふうぞく)	manners	restoration	division	prejudice
復旧 (ふっきゅう)	restoration	division	prejudice	charge
分配 (ぶんぱい)	division	prejudice	charge	compensation
偏見 (へんけん)	prejudice	charge	compensation	service
保管 (ほかん)	charge	compensation	service	meeting 
補強 (ほきょう)	compensation	service	meeting 	net
奉仕 (ほうし)	service	meeting 	net	outdoors
面会 (めんかい)	meeting 	net	outdoors	predominance
網 (あみ)	net	outdoors	predominance	leisure
野外 (やがい)	outdoors	predominance	leisure	to need
優位 (ゆうい)	predominance	leisure	to need	interest 
余暇 (よか)	leisure	to need	interest 	favorable
要する (ようする)	to need	interest 	favorable	smooth
利息 (りそく)	interest 	favorable	smooth	power
良好 (りょうこう)	favorable	smooth	power	warehouse
円滑 (えんかつ)	smooth	power	warehouse	face
威力 (いりょく)	power	warehouse	face	sometimes
