老衰 (ろうすい)	senility	clue	magnificent	department
手がかり (てがかり)	clue	magnificent	department	repair
堂々 (どうどう)	magnificent	department	repair	foreign
科 (か)	department	repair	foreign	conviction
改修 (かいしゅう)	repair	foreign	conviction	feel 
外来 (がいらい)	foreign	conviction	feel 	custom
確信 (かくしん)	conviction	feel 	custom	noble
感触 (かんしょく)	feel 	custom	noble	play
慣例 (かんれい)	custom	noble	play	ultimate
貴族 (きぞく)	noble	play	ultimate	teaching
戯曲 (ぎきょく)	play	ultimate	teaching	subject
究極 (きゅうきょく)	ultimate	teaching	subject	inclination
教え (おしえ)	teaching	subject	inclination	encouragement
教科 (きょうか)	subject	inclination	encouragement	popularity
傾斜 (けいしゃ)	inclination	encouragement	popularity	bank clerk
激励 (げきれい)	encouragement	popularity	bank clerk	composition
好評 (こうひょう)	popularity	bank clerk	composition	the very best
行員 (こういん)	bank clerk	composition	the very best	miscellaneous goods
合成 (ごうせい)	composition	the very best	miscellaneous goods	way
最善 (さいぜん)	the very best	miscellaneous goods	way	dentistry
雑貨 (ざっか)	miscellaneous goods	way	dentistry	businessman
仕様 (しよう)	way	dentistry	businessman	celebration
歯科 (しか)	dentistry	businessman	celebration	shield
実業家 (じつぎょうか)	businessman	celebration	shield	consent
祝賀 (しゅくが)	celebration	shield	consent	sentiment
盾 (たて)	shield	consent	sentiment	proposal
承諾 (しょうだく)	consent	sentiment	proposal	to be intimate with
心情 (しんじょう)	sentiment	proposal	to be intimate with	precise
申し出 (もうしで)	proposal	to be intimate with	precise	earnest
親しむ (したしむ)	to be intimate with	precise	earnest	arriving first
精密 (せいみつ)	precise	earnest	arriving first	to insert
切実 (せつじつ)	earnest	arriving first	to insert	talk
先着 (せんちゃく)	arriving first	to insert	talk	script
組み込む (くみこむ)	to insert	talk	script	large part
対談 (たいだん)	talk	script	large part	shame
台本 (だいほん)	script	large part	shame	accumulation
大方 (おおかた)	large part	shame	accumulation	collection 
恥 (はじ)	shame	accumulation	collection 	chase
蓄積 (ちくせき)	accumulation	collection 	chase	correction
徴収 (ちょうしゅう)	collection 	chase	correction	adaptation
