突如 (とつじょ)	suddenly	thickheaded	internal organs	sunny place
鈍感 (どんかん)	thickheaded	internal organs	sunny place	boiling water
内臓 (ないぞう)	internal organs	sunny place	boiling water	name of an era
日向 (ひなた)	sunny place	boiling water	name of an era	senior
熱湯 (ねっとう)	boiling water	name of an era	senior	annual tree ring
年号 (ねんごう)	name of an era	senior	annual tree ring	to be sticky
年長 (ねんちょう)	senior	annual tree ring	to be sticky	farming
年輪 (ねんりん)	annual tree ring	to be sticky	farming	tearing up and discarding 
粘る (ねばる)	to be sticky	farming	tearing up and discarding 	damage
農耕 (のうこう)	farming	tearing up and discarding 	damage	explosion
破棄 (はき)	tearing up and discarding 	damage	explosion	Dear 
破損 (はそん)	damage	explosion	Dear 	sake cup
破裂 (はれつ)	explosion	Dear 	sake cup	arrangement
拝啓 (はいけい)	Dear 	sake cup	arrangement	umeboshi
杯 (さかずき)	sake cup	arrangement	umeboshi	to put on the market
配列 (はいれつ)	arrangement	umeboshi	to put on the market	confession
梅干し (うめぼし)	umeboshi	to put on the market	confession	feebleness
売り出す (うりだす)	to put on the market	confession	feebleness	vague
白状 (はくじょう)	confession	feebleness	vague	physical growth
薄弱 (はくじゃく)	feebleness	vague	physical growth	germination
漠然 (ばくぜん)	vague	physical growth	germination	attack 
発育 (はついく)	physical growth	germination	attack 	to omit
発芽 (はつが)	germination	attack 	to omit	to slip out
発病 (はつびょう)	attack 	to omit	to slip out	to accompany
抜かす (ぬかす)	to omit	to slip out	to accompany	remnant
抜け出す (ぬけだす)	to slip out	to accompany	remnant	to be contrary to
伴う (ともなう)	to accompany	remnant	to be contrary to	antipathy
半端 (はんぱ)	remnant	to be contrary to	antipathy	reflection
反する (はんする)	to be contrary to	antipathy	reflection	overflowing
反感 (はんかん)	antipathy	reflection	overflowing	to commit 
反射 (はんしゃ)	reflection	overflowing	to commit 	prosperity
氾濫 (はんらん)	overflowing	to commit 	prosperity	troublesome
犯す (おかす)	to commit 	prosperity	troublesome	to spend
繁盛 (はんじょう)	prosperity	troublesome	to spend	delinquency
煩わしい (わずらわしい)	troublesome	to spend	delinquency	smile
費やす (ついやす)	to spend	delinquency	smile	eyebrow
非行 (ひこう)	delinquency	smile	eyebrow	required 
微笑 (びしょう)	smile	eyebrow	required 	inevitable
眉 (まゆ)	eyebrow	required 	inevitable	motto
必修 (ひっしゅう)	required 	inevitable	motto	to drift
