未定 (みてい)	not yet fixed	wireless	name	arrow 
無線 (むせん)	wireless	name	arrow 	place
名称 (めいしょう)	name	arrow 	place	execution
矢 (や)	arrow 	place	execution	birth
余地 (よち)	place	execution	birth	rearing
施行 (しこう)	execution	birth	rearing	signs
出生 (しゅっしょう)	birth	rearing	signs	savings
育成 (いくせい)	rearing	signs	savings	treatment
兆し (きざし)	signs	savings	treatment	closing years 
貯蓄 (ちょちく)	savings	treatment	closing years 	world
取り扱い (とりあつかい)	treatment	closing years 	world	revision 
末期 (まっき)	closing years 	world	revision 	opportunity
世 (よ)	world	revision 	opportunity	orphan
改定 (かいてい)	revision 	opportunity	orphan	making
契機 (けいき)	opportunity	orphan	making	independence
孤児 (こじ)	orphan	making	independence	dwelling
作り (つくり)	making	independence	dwelling	war potential
自立 (じりつ)	independence	dwelling	war potential	equipment
住 (じゅう)	dwelling	war potential	equipment	running a wheeled vehicle 
戦力 (せんりょく)	war potential	equipment	running a wheeled vehicle 	break in the deadlock
装備 (そうび)	equipment	running a wheeled vehicle 	break in the deadlock	wrestling ring 
走行 (そうこう)	running a wheeled vehicle 	break in the deadlock	wrestling ring 	sense
打開 (だかい)	break in the deadlock	wrestling ring 	sense	good fortune
土俵 (どひょう)	wrestling ring 	sense	good fortune	letter
念 (ねん)	sense	good fortune	letter	whaling
福 (ふく)	good fortune	letter	whaling	fund-raising
文 (ふみ)	letter	whaling	fund-raising	wild
捕鯨 (ほげい)	whaling	fund-raising	wild	dependence
募金 (ぼきん)	fund-raising	wild	dependence	mere
野生 (やせい)	wild	dependence	mere	assassination
依存 (いぞん)	dependence	mere	assassination	clothing
ほんの (本の)	mere	assassination	clothing	fate
暗殺 (あんさつ)	assassination	clothing	fate	hero
衣装 (いしょう)	clothing	fate	hero	coast
運命 (うんめい)	fate	hero	coast	rivers
英雄 (えいゆう)	hero	coast	rivers	social class 
沿岸 (えんがん)	coast	rivers	social class 	general idea
河川 (かせん)	rivers	social class 	general idea	description
階級 (かいきゅう)	social class 	general idea	description	technique
概念 (がいねん)	general idea	description	technique	strong
