公認 (こうにん)	official recognition	efficiency	handicraft 	protest
効率 (こうりつ)	efficiency	handicraft 	protest	basis
工作 (こうさく)	handicraft 	protest	basis	resuscitation
抗議 (こうぎ)	protest	basis	resuscitation	vote
根拠 (こんきょ)	basis	resuscitation	vote	cell
再生 (さいせい)	resuscitation	vote	cell	source of funds
採決 (さいけつ)	vote	cell	source of funds	administration of justice
細胞 (さいぼう)	cell	source of funds	administration of justice	indication
財源 (ざいげん)	source of funds	administration of justice	indication	pointing out
司法 (しほう)	administration of justice	indication	pointing out	opinion
指示 (しじ)	indication	pointing out	opinion	attempt
指摘 (してき)	pointing out	opinion	attempt	prior
視点 (してん)	opinion	attempt	prior	public order
試み (こころみ)	attempt	prior	public order	resignation
事前 (じぜん)	prior	public order	resignation	substance
治安 (ちあん)	public order	resignation	substance	sovereignty
辞職 (じしょく)	resignation	substance	sovereignty	main constituent
実質 (じっしつ)	substance	sovereignty	main constituent	leadership
主権 (しゅけん)	sovereignty	main constituent	leadership	defense
主体 (しゅたい)	main constituent	leadership	defense	meaning
主導 (しゅどう)	leadership	defense	meaning	receiving
守備 (しゅび)	defense	meaning	receiving	fullness
趣旨 (しゅし)	meaning	receiving	fullness	flexible
受け入れ (うけいれ)	receiving	fullness	flexible	belonging to 
充実 (じゅうじつ)	fullness	flexible	belonging to 	bed
柔軟 (じゅうなん)	flexible	belonging to 	bed	evidence
所属 (しょぞく)	belonging to 	bed	evidence	testimony
床 (とこ)	bed	evidence	testimony	superior 
証拠 (しょうこ)	evidence	testimony	superior 	promotion
証言 (しょうげん)	testimony	superior 	promotion	progress
上位 (じょうい)	superior 	promotion	progress	capable person
振興 (しんこう)	promotion	progress	capable person	system
進展 (しんてん)	progress	capable person	system	leadership
人材 (じんざい)	capable person	system	progress	defense
制 (せい)	system	evidence	testimony	superior 
