無能 (むのう)	incompetence	impolite	of course	husband
無礼 (ぶれい)	impolite	of course	husband	famous
無論 (むろん)	of course	husband	famous	name plate
婿 (むこ)	husband	famous	name plate	remains
名高い (なだかい)	famous	name plate	remains	to name
名札 (なふだ)	name plate	remains	to name	direct hit
名残 (なごり)	remains	to name	direct hit	to pass 
名付ける (なづける)	to name	direct hit	to pass 	clear
命中 (めいちゅう)	direct hit	to pass 	clear	cheerful
明かす (あかす)	to pass 	clear	cheerful	downfall
明瞭 (めいりょう)	clear	cheerful	downfall	to face on
明朗 (めいろう)	cheerful	downfall	to face on	face
滅亡 (めつぼう)	downfall	to face on	face	exemplar
面する (めんする)	to face on	face	exemplar	imitation
面目 (めんぼく)	face	exemplar	imitation	blind spot
模範 (もはん)	exemplar	imitation	blind spot	to wake up
模倣 (もほう)	imitation	blind spot	to wake up	catalogue
盲点 (もうてん)	blind spot	to wake up	catalogue	to enquire
目覚める (めざめる)	to wake up	catalogue	to enquire	town hall
目録 (もくろく)	catalogue	to enquire	town hall	to be useful
問い合わせる (といあわせる)	to enquire	town hall	to be useful	oil painting
役場 (やくば)	town hall	to be useful	oil painting	brave
役立つ (やくだつ)	to be useful	oil painting	brave	ghost
油絵 (あぶらえ)	oil painting	brave	ghost	to own
勇敢 (ゆうかん)	brave	ghost	to own	the truth
幽霊 (ゆうれい)	ghost	to own	the truth	state
有する (ゆうする)	to own	the truth	state	beneficial
ありのまま (有りのまま)	the truth	state	beneficial	temptation
有様 (ありさま)	state	beneficial	temptation	evening glow
有益 (ゆうえき)	beneficial	temptation	evening glow	evening
誘惑 (ゆうわく)	temptation	evening glow	evening	presentiment
夕焼け (ゆうやけ)	evening glow	evening	presentiment	to swing
夕暮れ (ゆうぐれ)	evening	presentiment	to swing	Western style
予感 (よかん)	presentiment	to swing	Western style	business
揺らぐ (ゆらぐ)	to swing	Western style	business	far
洋風 (ようふう)	Western style	business	far	to support
用件 (ようけん)	business	far	to support	bathroom
はるか (遥か)	far	to support	bathroom	to entangle
養う (やしなう)	to support	bathroom	to entangle	fall
浴室 (よくしつ)	bathroom	to entangle	fall	dairy farming
