乙 (おつ)	second 	burning low	groundwork	something or other
下火 (したび)	burning low	groundwork	something or other	excess
下地 (したじ)	groundwork	something or other	excess	monster
なんだかんだ (何だかんだ)	something or other	excess	monster	revision 
過多 (かた)	excess	monster	revision 	game
怪獣 (かいじゅう)	monster	revision 	game	university graduate
改訂 (かいてい)	revision 	game	university graduate	yet
獲物 (えもの)	game	university graduate	yet	thin rice porridge
学士 (がくし)	university graduate	yet	thin rice porridge	roll 
かつ (且つ)	yet	thin rice porridge	roll 	sensitivity 
粥 (かゆ)	thin rice porridge	roll 	sensitivity 	brevity
巻 (まき)	roll 	sensitivity 	brevity	60th birthday
感度 (かんど)	sensitivity 	brevity	60th birthday	in its entirety
簡潔 (かんけつ)	brevity	60th birthday	in its entirety	rock
還暦 (かんれき)	60th birthday	in its entirety	rock	injury
まるごと (丸ごと)	in its entirety	rock	injury	contribution
岩石 (がんせき)	rock	injury	contribution	quarterly 
危害 (きがい)	injury	contribution	quarterly 	undulation 
寄与 (きよ)	contribution	quarterly 	undulation 	assembly hall
季刊 (きかん)	quarterly 	undulation 	assembly hall	tea drinking 
起伏 (きふく)	undulation 	assembly hall	tea drinking 	coeducation
議事堂 (ぎじどう)	assembly hall	tea drinking 	coeducation	resonance
喫茶 (きっさ)	tea drinking 	coeducation	resonance	to become frightened
共学 (きょうがく)	coeducation	resonance	to become frightened	paulownia tree
共鳴 (きょうめい)	resonance	to become frightened	paulownia tree	foot race
怯える (おびえる)	to become frightened	paulownia tree	foot race	ruler
桐 (きり)	paulownia tree	foot race	ruler	military or naval uniform
かけっこ (駆けっこ)	foot race	ruler	military or naval uniform	judgement
君主 (くんしゅ)	ruler	military or naval uniform	judgement	condition
軍服 (ぐんぷく)	military or naval uniform	judgement	condition	blessing
刑罰 (けいばつ)	judgement	condition	blessing	meter
形勢 (けいせい)	condition	blessing	meter	to be related
恵み (めぐみ)	blessing	meter	to be related	in good health
計器 (けいき)	meter	to be related	in good health	original form
結びつく (むすびつく)	to be related	in good health	original form	the text
健在 (けんざい)	in good health	original form	the text	diaper
原形 (げんけい)	original form	the text	diaper	trade
原文 (げんぶん)	the text	diaper	trade	brilliance
おむつ (お襁褓)	diaper	trade	brilliance	ruin
交易 (こうえき)	trade	brilliance	ruin	paid subscription 
