三味線 (しゃみせん)	shamisen	duplication	convenient	palm 
重複 (ちょうふく)	duplication	convenient	palm 	public gaze
重宝 (ちょうほう)	convenient	palm 	public gaze	to drive in 
手のひら (てのひら)	palm 	public gaze	to drive in 	verbal message
人目 (ひとめ)	public gaze	to drive in 	verbal message	meagre
打ち込む (うちこむ)	to drive in 	verbal message	meagre	to be buried
伝言 (でんごん)	verbal message	meagre	to be buried	all people
乏しい (とぼしい)	meagre	to be buried	all people	all-purpose
埋まる (うまる)	to be buried	all people	all-purpose	lending 
万人 (ばんにん)	all people	all-purpose	lending 	fallen leaves
万能 (ばんのう)	all-purpose	lending 	fallen leaves	excuse 
融通 (ゆうずう)	lending 	fallen leaves	excuse 	war
落ち葉 (おちば)	fallen leaves	excuse 	war	negation
言い訳 (いいわけ)	excuse 	war	negation	to give birth
戦 (いくさ)	war	negation	to give birth	collar
打ち消し (うちけし)	negation	to give birth	collar	gentle
生む (うむ)	to give birth	collar	gentle	bet
襟 (えり)	collar	gentle	bet	unrequited love
温和 (おんわ)	gentle	bet	unrequited love	side
賭け (かけ)	bet	unrequited love	side	flower bed
片思い (かたおもい)	unrequited love	side	flower bed	perfect
傍ら (かたわら)	side	flower bed	perfect	effect
花壇 (かだん)	flower bed	perfect	effect	to be wounded
完璧 (かんぺき)	perfect	effect	to be wounded	whim
効き目 (ききめ)	effect	to be wounded	whim	chemical element
傷つく (きずつく)	to be wounded	whim	chemical element	attachment
気まぐれ (きまぐれ)	whim	chemical element	attachment	variety
元素 (げんそ)	chemical element	attachment	variety	to harm
執着 (しゅうちゃく)	attachment	variety	to harm	to be furnished with
種々 (しゅじゅ)	variety	to harm	to be furnished with	to sever
損なう (そこなう)	to harm	to be furnished with	to sever	even if
備わる (そなわる)	to be furnished with	to sever	even if	to pinch
断つ (たつ)	to sever	even if	to pinch	to penetrate
たとえ (仮令)	even if	to pinch	to penetrate	guidance
つまむ (摘む)	to pinch	to penetrate	guidance	precious
徹する (てっする)	to penetrate	guidance	precious	to value
手引き (てびき)	guidance	precious	to value	to break off
尊い (たっとい)	precious	to value	to break off	to sharpen
貴ぶ (たっとぶ)	to value	to break off	to sharpen	to stop
途切れる (とぎれる)	to break off	to sharpen	to stop	first of all
