同い年 (おないどし)	the same age	send specially	quantity of heat	seductive
特派 (とくは)	send specially	quantity of heat	seductive	warp
熱量 (ねつりょう)	quantity of heat	seductive	warp	earthenware pot
悩ましい (なやましい)	seductive	warp	earthenware pot	buoyancy
反り (そり)	warp	earthenware pot	buoyancy	feudalistic
甕 (かめ)	earthenware pot	buoyancy	feudalistic	prattle
浮力 (ふりょく)	buoyancy	feudalistic	prattle	tidying up
封建 (ほうけん)	feudalistic	prattle	tidying up	noted product
片言 (かたこと)	prattle	tidying up	noted product	supremacy
片付け (かたづけ)	tidying up	noted product	supremacy	side show
名産 (めいさん)	noted product	supremacy	side show	directions
優越 (ゆうえつ)	supremacy	side show	directions	way of standing 
余興 (よきょう)	side show	directions	way of standing 	difficult
用法 (ようほう)	directions	way of standing 	difficult	attendance
立方 (たちかた)	way of standing 	difficult	attendance	in very small pieces
難い (かたい)	difficult	attendance	in very small pieces	cold
来場 (らいじょう)	attendance	in very small pieces	cold	long
粉々 (こなごな)	in very small pieces	cold	long	coordinate
そっけない (素っ気ない)	cold	long	coordinate	intelligence
長々 (ながなが)	long	coordinate	intelligence	counter for nights of a stay
座標 (ざひょう)	coordinate	intelligence	counter for nights of a stay	plain
利根 (りこん)	intelligence	counter for nights of a stay	plain	gaudy
泊 (はく)	counter for nights of a stay	plain	gaudy	now
あからさま (明白)	plain	gaudy	now	awfully
あくどい (悪どい)	gaudy	now	awfully	ray 
いざ	now	awfully	ray 	frightening
いやに (嫌に)	awfully	ray 	frightening	Shinto shrine
えい (鱝)	ray 	frightening	Shinto shrine	attendant
おっかない	frightening	Shinto shrine	attendant	exactly
お宮 (おみや)	Shinto shrine	attendant	exactly	suddenly
お供 (おとも)	attendant	exactly	suddenly	being disheartened
きっかり	exactly	suddenly	being disheartened	tenacious
ぐっと	suddenly	being disheartened	tenacious	nimble
げっそり	being disheartened	tenacious	nimble	slim
しぶとい	tenacious	nimble	slim	dripping wet
すばしこい	nimble	slim	dripping wet	in a line
すんなり	slim	dripping wet	in a line	everywhere
ずぶ濡れ (ずぶぬれ)	dripping wet	in a line	everywhere	to pamper
ずらっと	in a line	everywhere	to pamper	not at all
そこら (其処ら)	everywhere	to pamper	not at all	screwdriver
