研ぐ (とぐ)	to sharpen	to stop	first of all	especially
留める (とどめる)	to stop	first of all	especially	to carry on shoulder
とりあえず (取り敢えず)	first of all	especially	to carry on shoulder	to gulp down
とりわけ (取り分け)	especially	to carry on shoulder	to gulp down	brilliant
担う (になう)	to carry on shoulder	to gulp down	brilliant	disclosure
飲み込む (のみこむ)	to gulp down	brilliant	disclosure	to pull up
華々しい (はなばなしい)	brilliant	disclosure	to pull up	to pull down
暴露 (ばくろ)	disclosure	to pull up	to pull down	left-handedness
引き上げる (ひきあげる)	to pull up	to pull down	left-handedness	sunburn
引き下げる (ひきさげる)	to pull down	left-handedness	sunburn	to go to ruin
左利き (ひだりきき)	left-handedness	sunburn	to go to ruin	in advance
日焼け (ひやけ)	sunburn	to go to ruin	in advance	anaesthesia
滅びる (ほろびる)	to go to ruin	in advance	anaesthesia	paralysis
前もって (まえもって)	in advance	anaesthesia	paralysis	plump
麻酔 (ますい)	anaesthesia	paralysis	plump	estimate
麻痺 (まひ)	paralysis	plump	estimate	to miss
丸々 (まるまる)	plump	estimate	to miss	remarkable
見積もり (みつもり)	estimate	to miss	remarkable	gradations 
見逃す (みのがす)	to miss	remarkable	gradations 	to let leak
目覚ましい (めざましい)	remarkable	gradations 	to let leak	staying up late
目盛り (めもり)	gradations 	to let leak	staying up late	to cut in
漏らす (もらす)	to let leak	staying up late	to cut in	to be worth
夜更かし (よふかし)	staying up late	to cut in	to be worth	to injure
割り込む (わりこむ)	to cut in	to be worth	to injure	to go under
値する (あたいする)	to be worth	to injure	to go under	to fall in love with
害する (がいする)	to injure	to go under	to fall in love with	long and large
くぐる (潜る)	to go under	to fall in love with	long and large	to support
恋する (こいする)	to fall in love with	long and large	to support	to make a mistake
長大 (ちょうだい)	long and large	to support	to make a mistake	parallelism
突っ張る (つっぱる)	to support	to make a mistake	parallelism	to reflect on 
間違う (まちがう)	to make a mistake	parallelism	to reflect on 	errand
平行 (へいこう)	parallelism	to reflect on 	errand	increasing 
省みる (かえりみる)	to reflect on 	errand	increasing 	amateur
お使い (おつかい)	errand	increasing 	amateur	alkali
アップ	increasing 	amateur	alkali	aluminum 
アマチュア	amateur	alkali	aluminum 	questionnaire
アルカリ (亜爾加里)	alkali	aluminum 	questionnaire	intellectual
アルミ	aluminum 	questionnaire	intellectual	inflation
アンケート	questionnaire	intellectual	inflation	virus 
インテリ	intellectual	inflation	virus 	opening 
