加味 (かみ)	seasoning	the end	class	deep emotion
果て (はて)	the end	class	deep emotion	to fear
階層 (かいそう)	class	deep emotion	to fear	reception
感慨 (かんがい)	deep emotion	to fear	reception	industrial enterprise
危ぶむ (あやぶむ)	to fear	reception	industrial enterprise	empty
享受 (きょうじゅ)	reception	industrial enterprise	empty	connection
興業 (こうぎょう)	industrial enterprise	empty	connection	cultivation
虚しい (むなしい)	empty	connection	cultivation	spices
結びつき (むすびつき)	connection	cultivation	spices	embroidery
耕作 (こうさく)	cultivation	spices	embroidery	plan
香辛料 (こうしんりょう)	spices	embroidery	plan	timetable
刺繍 (ししゅう)	embroidery	plan	timetable	company owned house
思いつき (おもいつき)	plan	timetable	company owned house	to handle
時刻表 (じこくひょう)	timetable	company owned house	to handle	going to work 
社宅 (しゃたく)	company owned house	to handle	going to work 	promoting
手がける (てがける)	to handle	going to work 	promoting	to conform to
出社 (しゅっしゃ)	going to work 	promoting	to conform to	moment
増進 (ぞうしん)	promoting	to conform to	moment	body build
即する (そくする)	to conform to	moment	body build	animal husbandry
つかの間 (つかのま)	moment	body build	animal husbandry	long 
体つき (からだつき)	body build	animal husbandry	long 	to hurt
畜産 (ちくさん)	animal husbandry	long 	to hurt	jar
長編 (ちょうへん)	long 	to hurt	jar	escape
痛める (いためる)	to hurt	jar	escape	the same grade
壺 (つぼ)	jar	escape	the same grade	previously
逃亡 (とうぼう)	escape	the same grade	previously	taste
同級 (どうきゅう)	the same grade	previously	taste	lottery
かねて (予て)	previously	taste	lottery	right or wrong
嗜好 (しこう)	taste	lottery	right or wrong	deed
くじ引き (くじびき)	lottery	right or wrong	deed	to change
良し悪し (よしあし)	right or wrong	deed	to change	to shine
行い (おこない)	deed	to change	to shine	childcare worker
切り替える (きりかえる)	to change	to shine	childcare worker	to straddle
映える (はえる)	to shine	childcare worker	to straddle	to 
保母 (ほぼ)	childcare worker	to straddle	to 	in spite of
またがる (跨がる)	to straddle	to 	in spite of	easily
見かける (みかける)	to 	in spite of	easily	contrary
にもかかわらず (にも拘らず)	in spite of	easily	contrary	uncertain
あっさり	easily	contrary	uncertain	oh
あべこべ	contrary	uncertain	oh	indeed
