沈黙 (ちんもく)	silence	tsunami	fall	feeling keenly
津波 (つなみ)	tsunami	fall	feeling keenly	definition
墜落 (ついらく)	fall	feeling keenly	definition	walking
痛感 (つうかん)	feeling keenly	definition	walking	characteristic 
定義 (ていぎ)	definition	walking	characteristic 	blood relationship
徒歩 (とほ)	walking	characteristic 	blood relationship	milk 
特有 (とくゆう)	characteristic 	blood relationship	milk 	zeal
肉親 (にくしん)	blood relationship	milk 	zeal	stickiness
乳 (ちち)	milk 	zeal	stickiness	drainage
熱意 (ねつい)	zeal	stickiness	drainage	insurrection
粘り (ねばり)	stickiness	drainage	insurrection	door
排水 (はいすい)	drainage	insurrection	door	beauty
反乱 (はんらん)	insurrection	door	beauty	seedling
扉 (とびら)	door	beauty	seedling	frequent
美 (び)	beauty	seedling	frequent	moving to a different location to start a new job
苗 (なえ)	seedling	frequent	moving to a different location to start a new job	subordinate person
頻繁 (ひんぱん)	frequent	moving to a different location to start a new job	subordinate person	natural features
赴任 (ふにん)	moving to a different location to start a new job	subordinate person	natural features	numerator 
部下 (ぶか)	subordinate person	natural features	numerator 	supply
風土 (ふうど)	natural features	numerator 	supply	abandonment
分子 (ぶんし)	numerator 	supply	abandonment	plan
補給 (ほきゅう)	supply	abandonment	plan	seriousness
放棄 (ほうき)	abandonment	plan	seriousness	cannabis 
方策 (ほうさく)	plan	seriousness	cannabis 	style
本気 (ほんき)	seriousness	cannabis 	style	interest 
麻 (あさ)	cannabis 	style	interest 	love
様式 (ようしき)	style	interest 	love	coexistence
利子 (りし)	interest 	love	coexistence	device
恋愛 (れんあい)	love	coexistence	device	showy
共存 (きょうぞん)	coexistence	device	showy	outside the area
仕掛け (しかけ)	device	showy	outside the area	complete change
華やか (はなやか)	showy	outside the area	complete change	overwork
域外 (いきがい)	outside the area	complete change	overwork	simplicity
一変 (いっぺん)	complete change	overwork	simplicity	simple
過労 (かろう)	overwork	simplicity	simple	comedy
簡易 (かんい)	simplicity	simple	comedy	carefree
簡素 (かんそ)	simple	comedy	carefree	agreement
喜劇 (きげき)	comedy	carefree	agreement	to write down
気軽 (きがる)	carefree	agreement	to write down	sympathy
規約 (きやく)	agreement	to write down	sympathy	labor
