光沢 (こうたく)	brilliance	ruin	paid subscription 	consultation
荒廃 (こうはい)	ruin	paid subscription 	consultation	difference
購読 (こうどく)	paid subscription 	consultation	difference	gravel
合議 (ごうぎ)	consultation	difference	gravel	mining
差異 (さい)	difference	gravel	mining	fence
砂利 (じゃり)	gravel	mining	fence	to start
採掘 (さいくつ)	mining	fence	to start	to rule
柵 (さく)	fence	to start	to rule	son
仕掛ける (しかける)	to start	to rule	son	I
司る (つかさどる)	to rule	son	I	ceremonial hall 
子息 (しそく)	son	I	ceremonial hall 	copy
あたし (私)	I	ceremonial hall 	copy	great numbers 
式場 (しきじょう)	ceremonial hall 	copy	great numbers 	to follow
写し (うつし)	copy	great numbers 	to follow	to apply correspondingly
衆 (しゅう)	great numbers 	to follow	to apply correspondingly	first edition
準じる (じゅんじる)	to follow	to apply correspondingly	first edition	enactment
準ずる (じゅんずる)	to apply correspondingly	first edition	enactment	establishment
初版 (しょはん)	first edition	enactment	establishment	persuasion
制定 (せいてい)	enactment	establishment	persuasion	before
設定 (せってい)	establishment	persuasion	before	occupying
説得 (せっとく)	persuasion	before	occupying	selection
先に (さきに)	before	occupying	selection	ingredient
占領 (せんりょう)	occupying	selection	ingredient	confrontation
選考 (せんこう)	selection	ingredient	confrontation	opposition
素材 (そざい)	ingredient	confrontation	opposition	retirement
対決 (たいけつ)	confrontation	opposition	retirement	sole
対抗 (たいこう)	opposition	retirement	sole	written work
退職 (たいしょく)	retirement	sole	written work	government office
単独 (たんどく)	sole	written work	government office	signature
著書 (ちょしょ)	written work	government office	signature	wages 
庁 (ちょう)	government office	signature	wages 	anger
調印 (ちょういん)	signature	wages 	anger	rule
賃金 (ちんぎん)	wages 	anger	rule	scoring
怒り (いかり)	anger	rule	scoring	reader
統治 (とうち)	rule	scoring	reader	day and night
得点 (とくてん)	scoring	reader	day and night	trouble
読者 (どくしゃ)	reader	day and night	trouble	disposal
日夜 (にちや)	day and night	trouble	disposal	distribution
悩み (なやみ)	trouble	disposal	distribution	consideration
廃棄 (はいき)	disposal	distribution	consideration	dullness
