エンジニア	engineer	automatic	orientation	online
オートマチック	automatic	orientation	online	cocktail
オリエンテーション	orientation	online	cocktail	cut
オンライン	online	cocktail	cut	comeback
カクテル	cocktail	cut	comeback	patient's chart
カット	cut	comeback	patient's chart	guidebook
カムバック	comeback	patient's chart	guidebook	catch
カルテ	patient's chart	guidebook	catch	career 
ガイドブック	guidebook	catch	career 	nightclub 
キャッチ	catch	career 	nightclub 	crane
キャリア	career 	nightclub 	crane	grey 
クラブ	nightclub 	crane	grey 	guest
クレーン	crane	grey 	guest	comment 
グレー	grey 	guest	comment 	contact 
ゲスト	guest	comment 	contact 	contrast
コメント	comment 	contact 	contrast	control
コンタクト	contact 	contrast	control	pair of compasses
コントラスト	contrast	control	pair of compasses	cycle
コントロール	control	pair of compasses	cycle	thank you
コンパス	pair of compasses	cycle	thank you	Santa Claus
サイクル	cycle	thank you	Santa Claus	chic 
サンキュー	thank you	Santa Claus	chic 	show
サンタクロース	Santa Claus	chic 	show	short jacket
シック	chic 	show	short jacket	jumbo
ショー	show	short jacket	jumbo	genre
ジャンパー	short jacket	jumbo	genre	steam
ジャンボ	jumbo	genre	steam	drinking straw 
ジャンル	genre	steam	drinking straw 	stroboscope
スチーム	steam	drinking straw 	stroboscope	spring
ストロー	drinking straw 	stroboscope	spring	space 
ストロボ	stroboscope	spring	space 	sports car
スプリング	spring	space 	sports car	slacks
スペース	space 	sports car	slacks	sale
スポーツカー	sports car	slacks	sale	section
スラックス	slacks	sale	section	ceremony
セール	sale	section	ceremony	jello
セクション	section	ceremony	jello	socks
セレモニー	ceremony	jello	socks	solo
ゼリー	jello	socks	solo	title
ソックス	socks	solo	title	typist
