再建 (さいけん)	rebuilding	calamity	murder	will
災害 (さいがい)	calamity	murder	will	command
殺人 (さつじん)	murder	will	command	qualifications
志 (こころざし)	will	command	qualifications	independence
指揮 (しき)	command	qualifications	independence	axis
資格 (しかく)	qualifications	independence	axis	income and expenditure
自主 (じしゅ)	independence	axis	income and expenditure	employee
軸 (じく)	axis	income and expenditure	employee	coaching school
収支 (しゅうし)	income and expenditure	employee	coaching school	performance
従業員 (じゅうぎょういん)	employee	coaching school	performance	minority
塾 (じゅく)	coaching school	performance	minority	witness
出演 (しゅつえん)	performance	minority	witness	judging
少数 (しょうすう)	minority	witness	judging	correction
証人 (しょうにん)	witness	judging	correction	justice
審査 (しんさ)	judging	correction	justice	establishment
是正 (ぜせい)	correction	justice	establishment	dispute
正義 (せいぎ)	justice	establishment	dispute	market price 
設立 (せつりつ)	establishment	dispute	market price 	Minister of Finance
争い (あらそい)	dispute	market price 	Minister of Finance	promotion
相場 (そうば)	market price 	Minister of Finance	promotion	loss 
蔵相 (ぞうしょう)	Minister of Finance	promotion	loss 	diverse
促進 (そくしん)	promotion	loss 	diverse	compromise
損失 (そんしつ)	loss 	diverse	compromise	blow
多様 (たよう)	diverse	compromise	blow	attitude
妥協 (だきょう)	compromise	blow	attitude	order
打撃 (だげき)	blow	attitude	order	challenge
態勢 (たいせい)	attitude	order	challenge	offer
秩序 (ちつじょ)	order	challenge	offer	conversion
挑戦 (ちょうせん)	challenge	offer	conversion	registration
提供 (ていきょう)	offer	conversion	registration	trend
転換 (てんかん)	conversion	registration	trend	fellow
登録 (とうろく)	registration	trend	fellow	pupil in ... year
動向 (どうこう)	trend	fellow	pupil in ... year	fuel
同士 (どうし)	fellow	pupil in ... year	fuel	brain 
年生 (ねんせい)	pupil in ... year	fuel	brain 	destruction
燃料 (ねんりょう)	fuel	brain 	destruction	abolition
脳 (のう)	brain 	destruction	abolition	compensation
破壊 (はかい)	destruction	abolition	compensation	outbreak
廃止 (はいし)	abolition	compensation	outbreak	reaction
賠償 (ばいしょう)	compensation	outbreak	reaction	ratio
