任す (まかす)	to entrust	grasp	persecution	alma mater
把握 (はあく)	grasp	persecution	alma mater	release
迫害 (はくがい)	persecution	alma mater	release	pastor
母校 (ぼこう)	alma mater	release	pastor	exemption
放出 (ほうしゅつ)	release	pastor	exemption	look
牧師 (ぼくし)	pastor	exemption	look	ambition
免除 (めんじょ)	exemption	look	ambition	check
目つき (めつき)	look	ambition	check	desire
野心 (やしん)	ambition	check	desire	calmness
抑圧 (よくあつ)	check	desire	calmness	sink 
欲望 (よくぼう)	desire	calmness	sink 	finish
落ち着き (おちつき)	calmness	sink 	finish	conscience
流し (ながし)	sink 	finish	conscience	resemblance
了 (りょう)	finish	conscience	resemblance	Japanese style 
良心 (りょうしん)	conscience	resemblance	Japanese style 	planet
類似 (るいじ)	resemblance	Japanese style 	planet	emotion
和風 (わふう)	Japanese style 	planet	emotion	furnished with
惑星 (わくせい)	planet	emotion	furnished with	wholesale store
情緒 (じょうちょ)	emotion	furnished with	wholesale store	grandiose
付き (つき)	furnished with	wholesale store	grandiose	to exchange 
問屋 (とんや)	wholesale store	grandiose	to exchange 	origin
大げさ (おおげさ)	grandiose	to exchange 	origin	model
交わす (かわす)	to exchange 	origin	model	retail
起源 (きげん)	origin	model	retail	to be careful
軌範 (きはん)	model	retail	to be careful	thorn
小売 (こうり)	retail	to be careful	thorn	universal
慎む (つつしむ)	to be careful	thorn	universal	appendix
刺 (とげ)	thorn	universal	appendix	allotment
普遍 (ふへん)	universal	appendix	allotment	better
付録 (ふろく)	appendix	allotment	better	flattery
割り当て (わりあて)	allotment	better	flattery	bad fellow
まし (増し)	better	flattery	bad fellow	pressure 
お世辞 (おせじ)	flattery	bad fellow	pressure 	rest
悪者 (わるもの)	bad fellow	pressure 	rest	hint
圧迫 (あっぱく)	pressure 	rest	hint	just as one thought
安静 (あんせい)	rest	hint	just as one thought	the opposite sex 
暗示 (あんじ)	hint	just as one thought	the opposite sex 	unconditionally
案の定 (あんのじょう)	just as one thought	the opposite sex 	unconditionally	all present
異性 (いせい)	the opposite sex 	unconditionally	all present	part
一概に (いちがいに)	unconditionally	all present	part	stamp
