倹約 (けんやく)	thrift	vigorous	one part	subject
健やか (すこやか)	vigorous	one part	subject	interview
一部 (いちぶ)	one part	subject	interview	conversation
課題 (かだい)	subject	interview	conversation	reform
会見 (かいけん)	interview	conversation	reform	development
会談 (かいだん)	conversation	reform	development	Foreign Minister
改革 (かいかく)	reform	development	Foreign Minister	stock 
開発 (かいはつ)	development	Foreign Minister	stock 	management
外相 (がいしょう)	Foreign Minister	stock 	management	crisis
株式 (かぶしき)	stock 	management	crisis	mechanism
幹部 (かんぶ)	management	crisis	mechanism	regulation
危機 (きき)	crisis	mechanism	regulation	scale
機構 (きこう)	mechanism	regulation	scale	conference
規制 (きせい)	regulation	scale	conference	fear
規模 (きぼ)	scale	conference	fear	trader
協議 (きょうぎ)	conference	fear	trader	military affairs
恐れ (おそれ)	fear	trader	military affairs	resolution
業者 (ぎょうしゃ)	trader	military affairs	resolution	viewpoint
軍事 (ぐんじ)	military affairs	resolution	viewpoint	principle
決議 (けつぎ)	resolution	viewpoint	principle	actual place
見方 (みかた)	viewpoint	principle	actual place	negotiations
原則 (げんそく)	principle	actual place	negotiations	administration
現地 (げんち)	actual place	negotiations	administration	agreement
交渉 (こうしょう)	negotiations	administration	agreement	United Nations
行政 (ぎょうせい)	administration	agreement	United Nations	public finance 
合意 (ごうい)	agreement	United Nations	public finance 	cut
国連 (こくれん)	United Nations	public finance 	cut	support
財政 (ざいせい)	public finance 	cut	support	institution
削減 (さくげん)	cut	support	institution	funds
支持 (しじ)	support	institution	funds	project
施設 (しせつ)	institution	funds	project	head
資金 (しきん)	funds	project	head	up to now
事業 (じぎょう)	project	head	up to now	first
首脳 (しゅのう)	head	up to now	first	state of things
従来 (じゅうらい)	up to now	first	state of things	treaty
初 (はつ)	first	state of things	treaty	staff member
情勢 (じょうせい)	state of things	treaty	staff member	deliberation
条約 (じょうやく)	treaty	staff member	deliberation	propulsion
職員 (しょくいん)	staff member	deliberation	propulsion	influence
審議 (しんぎ)	deliberation	propulsion	influence	political administration
