記す (しるす)	to write down	sympathy	labor	abatement
共感 (きょうかん)	sympathy	labor	abatement	tuberculosis
勤労 (きんろう)	labor	abatement	tuberculosis	blood vessel
軽減 (けいげん)	abatement	tuberculosis	blood vessel	first year 
結核 (けっかく)	tuberculosis	blood vessel	first year 	family register 
血管 (けっかん)	blood vessel	first year 	family register 	kindness
元年 (がんねん)	first year 	family register 	kindness	short course
戸籍 (こせき)	family register 	kindness	short course	interval
好意 (こうい)	kindness	short course	interval	chorus
講習 (こうしゅう)	short course	interval	chorus	insect
合間 (あいま)	interval	chorus	insect	urban areas
合唱 (がっしょう)	chorus	insect	urban areas	fat
昆虫 (こんちゅう)	insect	urban areas	fat	sense of sight
市街 (しがい)	urban areas	fat	sense of sight	subject
脂肪 (しぼう)	fat	sense of sight	subject	at hand
視覚 (しかく)	sense of sight	subject	at hand	House of Representatives 
主題 (しゅだい)	subject	at hand	House of Representatives 	measure
手元 (てもと)	at hand	House of Representatives 	measure	book review
衆議院 (しゅうぎいん)	House of Representatives 	measure	book review	Ms
処置 (しょち)	measure	book review	Ms	quotient 
書評 (しょひょう)	book review	Ms	quotient 	cheque
女史 (じょし)	Ms	quotient 	cheque	marsh
商 (しょう)	quotient 	cheque	marsh	feelings
小切手 (こぎって)	cheque	marsh	feelings	trust
沼 (ぬま)	marsh	feelings	trust	rising
情 (じょう)	feelings	trust	rising	new building
信任 (しんにん)	trust	rising	new building	truth
新興 (しんこう)	rising	new building	truth	personality
新築 (しんちく)	new building	truth	personality	human body
真理 (しんり)	truth	personality	human body	sincere
人格 (じんかく)	personality	human body	sincere	end
人体 (じんたい)	human body	sincere	end	future
誠実 (せいじつ)	sincere	end	future	monk
切り (きり)	end	future	monk	remittance
前途 (ぜんと)	future	monk	remittance	augment
僧 (そう)	monk	remittance	augment	one 
送金 (そうきん)	remittance	augment	one 	dealing with
増強 (ぞうきょう)	augment	one 	dealing with	equality 
他方 (たほう)	one 	dealing with	equality 	outline
対処 (たいしょ)	dealing with	equality 	outline	single
