바	事	時	人	地
바가지	勺子	籃子	針	海水
바구니	籃子	針	海水	圍棋
바늘	針	海水	圍棋	希望
바닷물	海水	圍棋	希望	傻子
바둑	圍棋	希望	傻子	岩石
바람	希望	小提琴	褲子	博物館
바람직하다	可取的	端正	在深夜	餓
바래다주다	送回	擺好	供上	釘
바로잡다	擺好	供上	釘	丟掉
바르다	端正	收到	聽寫	學
바보	傻子	岩石	基礎	博士
바싹	乾	閃光	猛地	勤奮地
바위	岩石	基礎	博士	盒子
바치다	供上	看	釘	歡迎
바퀴	車輪	法律	部門	-點
바탕	基礎	博士	盒子	半價
박	泊	看	釘	歡迎
박다	釘	戲弄	歡迎	閃爍
박사	博士	盒子	半價	返還
박스	盒子	半價	返還	半月
박히다	釘	歡迎	閃爍	敵人
반값	半價	返還	半月	反義詞
반기다	歡迎	放棄	閃爍	談戀愛
반납	返還	半月	反義詞	對面
반달	半月	反義詞	對面	半語
반대말	反義詞	對面	半語	另一方面
반대쪽	對面	半語	另一方面	反對
반말	半語	另一方面	反對	重複
반면	另一方面	反對	重複	反省
반발	反對	重複	反省	反映
반복	重複	反省	反映	反應
반성	反省	反映	反應	班長
반영	反映	反應	班長	麵團
반응	反應	班長	麵團	OK繃
반장	班長	麵團	OK繃	短袖
반죽	麵團	OK繃	短袖	退貨
반짝거리다	閃爍	捕捉	談戀愛	吸納
반짝반짝	閃光	猛地	勤奮地	當然
반짝이다	閃爍	談戀愛	吸納	弄清
반창고	OK繃	短袖	退貨	墊
반팔	短袖	退貨	墊	步履
반품	退貨	墊	步履	發現
반하다	談戀愛	吸納	弄清	照亮
받아들이다	吸納	弄清	照亮	點亮
받침	墊	步履	發現	發給
발걸음	步履	發現	發給	腳步
발견	發現	發給	腳步	腳跟
발급	發給	腳步	腳跟	腳尖
발길	腳步	腳跟	腳尖	發育
발꿈치	腳跟	腳尖	發育	腳背
발끝	腳尖	發育	腳背	發明
발달	發育	腳背	發明	腳踝
발등	腳背	發明	腳踝	發生
발명	發明	腳踝	發生	發音
발목	腳踝	發生	發音	腳印
발생	發生	發音	腳印	發展
발음	發音	腳印	發展	趾甲
발자국	腳印	發展	趾甲	發表
발전	發展	趾甲	發表	發表會
발톱	趾甲	發表	發表會	發行
발표	發表	發表會	發行	栗子
발표회	發表會	發行	栗子	過夜
발행	發行	栗子	過夜	棕色的
밝혀내다	弄清	照亮	點亮	踩
밝혀지다	照亮	點亮	踩	被踐踏
밝히다	點亮	踩	被踐踏	通宵
밟다	踩	被踐踏	通宵	熬夜
밟히다	被踐踏	通宵	熬夜	沾上
밤	栗子	飯	房間	房門
밤낮	日日夜夜	本來	事實	正好
밤늦다	在深夜	餓	飽飽地	繁瑣
밤새	過夜	棕色的	午夜	飯碗
밤새다	通宵	熬夜	沾上	吐
밤새우다	熬夜	沾上	吐	支撐
밤색	棕色的	午夜	飯碗	食慾
밤중	午夜	飯碗	食慾	電鍋
밥그릇	飯碗	食慾	電鍋	方向
밥맛	食慾	電鍋	方向	地面
밥솥	電鍋	方向	地面	廣播公司
방면	方向	地面	廣播公司	方式
방바닥	地面	廣播公司	方式	方案
방송사	廣播公司	方式	方案	鈴鐺
방식	方式	方案	鈴鐺	預防
방안	方案	鈴鐺	預防	障礙
방울	鈴鐺	預防	障礙	背景
방지	預防	障礙	背景	排球
방해	障礙	背景	排球	肚臍
배경	背景	排球	肚臍	背包
배고프다	餓	飽飽地	繁瑣	熱鬧
배구	排球	肚臍	背包	背包旅行
배꼽	肚臍	背包	背包旅行	關懷
배낭	背包	背包旅行	關懷	配送
배낭여행	背包旅行	關懷	配送	伴侶
배다	沾上	吐	支撐	輪流
배려	關懷	配送	伴侶	送別
배부르다	飽飽地	繁瑣	熱鬧	任性
배송	配送	伴侶	送別	安排
배우자	伴侶	送別	安排	電池
배웅	送別	安排	電池	船運
배치	安排	電池	船運	包
배터리	電池	船運	包	內心
배편	船運	包	內心	香菇
백	包	內心	香菇	奶油
뱃속	內心	香菇	奶油	按鈕
뱉다	吐	支撐	輪流	拉開
버섯	香菇	奶油	按鈕	閃電
버터	奶油	按鈕	閃電	翻譯
