차도	車道	車輛	車子	菜單
차라리	不如	忍心	漸漸	收理
차량	車輛	車道	菜單	差別
차로	車道	菜單	差別	車費
차리다	準備	找出	尋找	拜訪
차림표	菜單	差別	車費	車道
차마	忍心	不忍	漸漸	確實
차별	差別	車費	車道	立場
차비	車費	車道	立場	差異
차선	車道	立場	差異	差異點
차원	立場	差異	差異點	車窗
차이	差異	差異點	車窗	錯覺
차이점	差異點	車窗	錯覺	贊成
차차	漸漸	輸	確實	徹底
차창	車窗	錯覺	贊成	參加
차츰	漸漸	確實	徹底	足夠的
착각	錯覺	贊成	參加	參考
찬성	贊成	參加	參考	芝麻油
참가	參加	參考	芝麻油	離席
참고	參考	芝麻油	參加	與會者
참기름	芝麻油	參加	與會者	參與
참석	參加	與會者	參與	參考
참석자	與會者	參與	參考	窗戶
참여	參與	參考	窗戶	窗邊
참으로	確實	徹底	足夠的	喀喀地
참조	參考	窗戶	窗邊	倉庫
창	窗戶	窗邊	倉庫	窗口
창가	窗邊	倉庫	窗口	窗外
창고	倉庫	窗口	窗外	創作
창구	窗口	窗外	創作	創建
창밖	窗外	創作	創建	恥辱
창작	創作	創建	恥辱	頻道
창조	創建	恥辱	頻道	選擇
창피	恥辱	頻道	選擇	書包
찾아내다	找出	尋找	拜訪	上
찾아다니다	尋找	拜訪	上	充滿
찾아뵙다	拜訪	上	充滿	擔負
채널	頻道	選擇	書包	責任
채우다	上	充滿	擔負	收拾
채우다	充滿	充滿	擔負	收拾
채택	選擇	書包	責任	責任感
책가방	書包	責任	責任感	負責人
책임	責任	責任感	負責人	冠軍
책임감	責任感	負責人	冠軍	處女
책임자	負責人	冠軍	處女	處理
책임지다	擔負	收拾	處於	請求
챔피언	冠軍	處女	處理	處方
챙기다	收拾	處於	請求	積
처녀	處女	處理	處方	少年
처리	處理	距離	處方	懲罰
처방	處方	處份	懲罰	天堂
처방전	處方	懲罰	天堂	雷
처벌	懲罰	天堂	雷	天使
처하다	處於	請求	積	喝醉
천국	天堂	雷	天使	天花板
천둥	雷	天使	天花板	天才
천사	天使	天花板	天才	天主教
천장	天花板	天才	天主教	季節
천재	天才	天主教	季節	懂事
천주교	天主教	季節	懂事	鐵路
철	季節	懂事	鐵路	附
철	懂事	懂事	鐵路	附
철도	鐵路	附	第一眼	第一場雪
철저히	徹底	足夠的	喀喀地	打鼾
첨부	附	第一眼	第一場雪	初戀
첫눈	第一眼	第一場雪	初戀	第一印象
첫눈	第一場雪	第一場雪	初戀	第一印象
첫사랑	初戀	第一印象	申請書	吸塵器
첫인상	第一印象	申請書	吸塵器	求婚
청구서	申請書	吸塵器	求婚	體系
청소기	吸塵器	求婚	體系	體力
청하다	請求	積	喝醉	刮
청혼	求婚	體系	體力	體面
체계	體系	體力	體面	體溫
체력	體力	體面	體溫	體操
체면	體面	體溫	體操	重量
체온	體溫	體操	重量	體驗
체조	體操	重量	體驗	初秋
체중	重量	體驗	初秋	初冬
체하다	積	喝醉	刮	劃
체험	體驗	初秋	初冬	初學者
초-	初	大	小	新
초가을	初秋	初冬	初學者	早期的
초겨울	初冬	初學者	早期的	綠色
초급	初學者	早期的	綠色	開局
초기	早期的	綠色	開局	初學者
초록	綠色	開局	初學者	黃色
초반	開局	開心	初學者	早春
초보	初學者	中級	早春	新月
초보자	初學者	早春	新月	初夏
초봄	早春	新月	初夏	傍晚
초승달	新月	初夏	傍晚	重點
초여름	初夏	傍晚	重點	煩惱
초저녁	傍晚	重點	煩惱	邀請
초점	重點	煩惱	邀請	請帖
초조	煩惱	邀請	請帖	槍
초청	邀請	請帖	槍	總理
초청장	請帖	槍	總理	拍攝
촌스럽다	土裡土氣	黑暗	大的	令人愉快的
총	槍	一位	一個或兩個	舊
총	總	一位	一個或兩個	舊
총리	總理	拍攝	頂級	最大
촬영	拍攝	頂級	最大	最好的
최고급	頂級	最大	最好的	最少
최대	最大	最好的	最少	最新
최대한	最大的	最少	一次	現在的
최선	最好的	最少	最新	最低
최소	最少	最新	最低	最終的
최소한	最少	一次	現在的	逐個
최신	最新	最低	最終的	最初
최저	最低	最終的	最初	追加
최종	最終的	最初	追加	回憶
최초	最初	追加	回憶	寒冷的
추가	追加	回憶	寒冷的	推進
추억	回憶	寒冷的	推進	建議
추위	寒冷的	推進	建議	推薦信
추진	推進	建議	推薦信	猜測
추천	建議	推薦信	猜測	足球場
추천서	推薦信	猜測	足球場	減少
추측	猜測	足球場	減少	慶典
축구장	足球場	減少	慶典	出境
축소	減少	慶典	出境	上班的路
축제	慶典	出境	上班的路	生產
출국	出境	上班的路	生產	出身
출근길	上班的路	生產	出身	出演
출산	生產	出身	出演	出版
출신	出身	出演	出版	出現
출연	出演	出版	出現	衝擊
출판	出版	出現	衝擊	建議
출현	出現	衝擊	建議	碰撞
충격	衝擊	建議	碰撞	就業
충격적	衝擊的	基本的	韓國的	合理的
