자	尺	打擾一下	這樣的	每個
자	哎	打擾一下	這樣的	每個
자가용	自己的車	資格	證書	刺激
자격	資格	證書	刺激	孩子們
자격증	證書	刺激	孩子們	自動的
자극	刺激	孩子們	自動的	資料
자기	自己	橫向	各自	前天
자꾸만	一直打擾	自然	滿滿地	迅速地
자녀	孩子們	自動的	資料	被子
자동	自動的	資料	被子	字幕
자라나다	長大	砍	富裕	鎖
자랑스럽다	自豪的	仔細	自然的	自由
자료	資料	被子	字幕	姐妹
자리	被子	孩子	自己	自由
자막	字幕	姐妹	資本	自豪
자매	姐妹	資本	自豪	自殺
자본	資本	自豪	自殺	姿勢
자부심	自豪	自殺	姿勢	自信
자살	自殺	姿勢	自信	自信感
자세	姿勢	自信	自信感	自然環境
자세하다	仔細	自然的	自由	很好
자신	自信	自由	炸醬麵	自行車
자신감	自信感	自然環境	資源	自尊心
자연스럽다	自然的	自由	很好	壯
자연적	自然的	長期	積極的	全國
자연환경	自然環境	資源	自尊心	朱紫色
자연히	自然	滿滿地	迅速地	那裡
자원	資源	自尊心	朱紫色	自炊
자유롭다	自由	很好	壯	低廉
자존심	自尊心	朱紫色	自炊	作家
자주색	朱紫色	自炊	作家	作曲
자취	自炊	作家	作曲	作曲家
작가	作家	作曲	作曲家	運轉
작곡	作曲	作曲家	運轉	作文
작곡가	作曲家	運轉	作文	作成
작동	運轉	作文	作成	作業
작문	作文	作成	作業	作用
작성	作成	作業	作用	叔叔
작업	作業	作用	叔叔	小媽媽
작용	作用	叔叔	小媽媽	小房子
작은아버지	叔叔	小媽媽	小房子	戰術
작은어머니	小媽媽	小房子	戰術	作品
작은집	小房子	戰術	作品	零錢
작전	戰術	作品	零錢	草地
작품	作品	零錢	草地	嘮叨
잔돈	零錢	草地	嘮叨	餘額
잔디밭	草地	嘮叨	餘額	睡衣
잔뜩	滿滿地	迅速地	那裡	自行
잔소리	嘮叨	餘額	睡衣	蜻蜓
잔액	餘額	睡衣	蜻蜓	結婚
잘나다	很好	壯	低廉	適切
잘리다	砍	富裕	鎖	表示
잘살다	富裕	貧窮	鎖	下沉
잠그다	鎖	輸	下沉	睡著
잠기다	鎖	下沉	睡著	拉
잠기다	下沉	下沉	睡著	拉
잠들다	睡著	拉	抓來吃	被抓
잠옷	睡衣	蜻蜓	結婚	部長
잠자리	蜻蜓	結婚	部長	長期間
잡아당기다	拉	抓來吃	被抓	秤
잡아먹다	抓來吃	被抓	秤	使睡
잡히다	被抓	秤	使睡	像那樣
장가	結婚	部長	長期間	玩笑
장관	部長	長期間	玩笑	長子
장기간	長期間	玩笑	長子	利弊
장기적	長期	積極的	全國	專業的
장난	玩笑	長子	利弊	未來
장남	長子	利弊	未來	葬禮
장단점	利弊	未來	葬禮	類型
장래	未來	葬禮	類型	雨季
장례식	葬禮	類型	雨季	場景
장르	類型	雨季	場景	岳母
장마철	雨季	場景	岳母	玫瑰
장면	場景	岳母	玫瑰	商業
장모	岳母	玫瑰	商業	長命
장미꽃	玫瑰	商業	長命	裝飾
장사	商業	長命	裝飾	障礙
장수	長命	裝飾	障礙	障礙人
장식	裝飾	障礙	障礙人	丈人
장애	障礙	障礙人	丈人	優點
장애인	障礙人	丈人	優點	獎學
