사건	事件	思維方式	道歉	詐欺
사고방식	思維方式	道歉	詐欺	男子漢
사과	道歉	人	愛情	辦公室
사교적	善於交際的	私人的	社會的	相對的
사기	詐欺	購買	男子漢	打獵
사나이	男子漢	媳婦	打獵	實例
사내	男子漢	打獵	實例	私立
사냥	打獵	實例	私立	沙漠
사들이다	買	消失	捉住	簽名
사라지다	消失	捉住	簽名	救
사랑스럽다	迷人的	瑣碎的	相處	無闗的
사례	實例	私立	沙漠	死的
사로잡다	捉住	簽名	救	過日子
사립	私立	沙漠	死的	事務
사막	沙漠	死的	事務	事務所
사망	死的	事務	事務所	技術職
사무	事務	事務所	技術職	事物
사무소	事務所	技術職	事物	四處
사무직	技術職	事物	四處	史上
사물	事物	四處	史上	私生活
사방	四處	史上	私生活	社論
사상	史上	私生活	社論	企業家
사생활	私生活	社論	企業家	營業
사설	社論	企業家	營業	事情原委
사소하다	瑣碎的	相處	無闗的	相當
사업가	企業家	營業	事情原委	使用費
사업자	營業	事情原委	使用費	使用法
사연	事情原委	使用費	使用法	用戶
사용료	使用費	使用法	用戶	桑拿
사용법	使用法	用戶	桑拿	四周圍
사용자	用戶	桑拿	四周圍	網路
사우나	桑拿	四周圍	網路	網站
사위	四周圍	網路	網站	獅子
사이버	網路	網站	獅子	字典
사이좋다	相處	無闗的	相當	暢快
사이트	網站	獅子	字典	事前
사인	簽名	救	過日子	活過來
사자	獅子	字典	事前	情況
사적	私人的	社會的	相對的	成功的
사전	字典	照片	糖果	三天
사전	事前	照片	糖果	三天
사정	情況	照相館	相片集	表
사진관	照相館	相片集	表	青春期
사진첩	相片集	表	青春期	事態
사촌	表	青春期	事態	方言
사춘기	青春期	事態	方言	辭呈
사태	事態	方言	辭呈	事項
사투리	方言	辭呈	事項	社會
사표	辭呈	事項	社會	社會生活
사항	事項	社會	社會生活	主持人
사회	社會	社會生活	主持人	刪除
사회생활	社會生活	主持人	刪除	山路
사회자	主持人	刪除	山路	山頂
사회적	社會的	相對的	成功的	世界的
삭제	刪除	山路	山頂	森林火災
산길	山路	山頂	森林火災	在群山中
산꼭대기	山頂	森林火災	在群山中	產業
산불	森林火災	在群山中	產業	成家
산속	在群山中	產業	成家	謀殺
산업	產業	成家	謀殺	生活
살리다	救	過日子	活過來	存活
살림	成家	謀殺	生活	獎
살아가다	過日子	活過來	存活	活下來
살아나다	活過來	存活	活下來	變胖
살아남다	存活	活下來	變胖	查看
살아오다	活下來	變胖	查看	死亡
살인	謀殺	生活	獎	桌
살짝	偷偷溜出去	沒有關係	相當	重新
살찌다	變胖	變高	查看	熬
살펴보다	查看	捕捉	熬	娶
살피다	查看	熬	娶	吞下
삶	生活	獎	桌	店鋪
삶다	熬	娶	吞下	腐爛
삼다	娶	吞下	腐爛	雕刻
삼키다	吞下	腐爛	雕刻	漏
상	獎	箱	傷口	生菜
상	桌	箱	傷口	生菜
상가	店鋪	相關	賞金	諮詢
상관	相關	賞金	諮詢	諮詢室
상관없다	無闗的	相當	暢快	與眾不同
상관없이	沒有關係	相當	重新	要緊
상금	賞金	諮詢	諮詢室	顧問
상담	諮詢	諮詢室	顧問	對手
상담실	諮詢室	顧問	對手	意外
상담원	顧問	上司	對手	對方
상당하다	相當	暢快	與眾不同	生動
상당히	相當	很少	重新	慢慢地
상대	對手	上級	上方	上游
상대방	對手	對方	上游	上半年
상대적	相對的	成功的	世界的	被動的
상대편	對方	上游	上半年	上司
상류	上游	上半年	上司	想像
상반기	上半年	上司	想像	想像力
상사	上司	想像	想像力	上升
상상	想像	想像力	上升	常識
상상력	想像力	上升	常識	商業
상승	上升	常識	商業	上映
상식	常識	商業	上映	店鋪
상업	商業	上映	店鋪	象徵
상영	上映	店鋪	象徵	狀態
상점	店鋪	象徵	狀態	上下
상징	象徵	狀態	上下	情況
상쾌하다	暢快	與眾不同	生動	涼爽
상태	狀態	上下	情況	內
상하	上下	情況	內	小子
상하다	腐爛	雕刻	漏	亮
상황	情況	內	小子	後媽
새	內	三四個	消極的	大約
새기다	雕刻	漏	亮	熬
새끼	小子	後媽	蝦	新房子
새다	漏	亮	熬	出現
새다	亮	亮	熬	出現
새로이	重新	舊的	慢慢地	恐怕
새삼	重新	慢慢地	恐怕	珍惜
새엄마	後媽	蝦	新房子	涼鞋
새우	蝦	新房子	涼鞋	活力
새우다	熬	出現	夾雜	激動
새집	新房子	涼鞋	活力	長相
색다르다	與眾不同	生動	涼爽	傷心
샌들	涼鞋	活力	長相	出生日期
생겨나다	出現	夾雜	激動	成立
생기	活力	長相	出生日期	省略
생김새	長相	出生日期	省略	直髮
생년월일	出生日期	省略	直髮	生命
생략	省略	直髮	生命	現場直播
생머리	直髮	生命	現場直播	生產
생명	生命	現場直播	生產	生存
생방송	現場直播	生產	生存	生活開銷
생산	生產	生存	生活開銷	生活用品
생생하다	生動	涼爽	傷心	生氣
생존	生存	生活開銷	生活用品	洗髮水
생활비	生活開銷	生活用品	洗髮水	西
생활용품	生活用品	洗髮水	西	簽名
샴푸	洗髮水	西	簽名	西部
서	西	簽名	西部	西洋
서넛	三四個	五	五六	萬
