[서른]＝삼십	三十（固有）
[마흔] 개	四十（固有）
[두세] 개	「兩三」個
[백만]:백만 개	百萬
[서너] 개	「三四」個
[한두] 명	一個或兩個
천 [원]	一千「元」
백 [미터]	一百「公尺」
[센티미터]	厘米
[킬로미터]	公里
한 [명]	一「名」
아는 [분]	認識的一「位」
세 [살]	三「歲」
삼십 [세]	三十「歲」
삼 [인분]	三「人份」
마지막 [날]	最後一「天」
25 [년]	25「年」
다음 [달]	下個「月」
60 [분]	60「分鐘」
몇 [시]	幾「點」
삼 [일]	三「天」
이번 [주] 	這「週」
이번 [주일]	這「星期」
[초]	秒
몇 [해]가 걸렸다	花了幾「年」時間（固有詞）
몇 [가지]	幾「種」
한 [개]	一「個」
책 한 [권]	一「本」書
차 한 [대]	一「台」車
한 [장]	一「張」
한 [켤레]	一「雙」
[킬로그램]	公斤
영상 일 [도]	零上一「度」
한  [마리]	一「隻」豬
두 [배]	兩「倍」
첫째 [번]	第一「次」
옷 한  [벌]	一「套」衣服
여러 [회]	好幾「次」
10[층] 건물	10「層」建築
[첫째] 시간	「第一」小時
[둘째] 딸	「二」女兒
[셋째]:숫자	第三
[넷째] 시간	「第四」小時
[다섯째] 사람	「第五個」人
[마지막] 경기	「最後的」比賽
[먼저] 가다	「先」走了
세 [번째]	「第」三「次」
[우선]:먼저	首先
[순서]를 매기다	排「順序」
[번호]를 매기다	標上「號碼」
[몇] 개	「幾」個
[수]:숫자	數字
[숫자]를 세다	數「數字」
[사이즈]가 크다	「尺寸」太大
[영하]로 떨어지다	降到「零下」
[차례] 지키다	依「順序」
[한번] 해 보다	試「一次」看看
[하나]	一（韓文固有）
[한] 명	「一」位
[둘]	二 （韓文固有原型）
[두]	二 （韓文固有變型）
[셋]	三（韓文固有原型）
[세]	三（韓文固有變型）
[넷]	四（韓文固有原型）
[네]	四（韓文固有變型）
[다섯] 개	五（韓文固有原型）
[여섯]	六（韓文固有）
[일곱]	七（韓文固有）
[여덟]	八（韓文固有）
[아홉]	九（韓文固有）
[열]	十（韓文固有）
[스물]	二十（韓文固有原型）
[스무]	二十（韓文固有變型）
[쉰]	五十（韓文固有）
[예순]	六十（韓文固有）
[일흔]	七十（韓文固有）
[여든]	八十（韓文固有）
[아흔]	九十（韓文固有）
[영]	零
[일]	一
[이]	二
[삼] 년	「三」年
[사]	四
[오]	五
[육]	六
[칠]	七
[팔]	八
[구]	九
[십]	十
[이십]	二十
[삼십]	三十
[사십]	四十
[오십]	五十
[육십]	六十
[칠십]	七十
[팔십]	八十
[구십] 살	「九十」歲
[백]	百
[천]	千
[만]	萬
[십만]	十萬
[천만]	千萬
[억]	億
[공]	零（空）
오 [조] 이천억	五「兆」二千億
[대여섯] 살	「五六」歲
[서넛]:서넛이랑	和「三四個」
[수만] 원	「幾萬」元
[수백] 마리	「幾百」隻
[수십] 개	「幾十」個
[수없이] 많다	無數
[수천] 명	「幾千」名
[한둘]이 아니다	不止「一兩個」
[달러]로 바꾸다	換成「美元」
10[밀리미터]	10「毫米」
1 [센티]	1「厘米」
1[위]	成績第一「名」
이천 [년대]	二千「年代」
이천 [년도]	二千「年度」
1[박] 2일	兩天一「夜」
사과 몇 [쪽]	幾「片」蘋果
몇 [그램]	幾「公克」
일 [리터]	一「公升」
1[교시]	第一「堂課」
여러 [군데] 	多「處」
일 [등]	一「等」
백[퍼센트]	「百分之」百
[만원]을 이루다	達到「萬元」
[여섯째] 날	「第六」天
[일곱째] 날	「第七」天
[여덟째] 날	「第八」天
[아홉째] 날	「第九」天
[열째] 날	「第十」天
[스무째] 날	「第二十」天
[순위]를 정하다	決定「排行」
[만] 3주	「滿」三週
[그래프]를 그리다	畫「圖表」
물가가 [솟다]	物價「飛漲」
[번호표]를 받다	拿到「號碼牌」
[몇몇] 사람	「一些」人
[짝수]:홀수	「雙數」：奇數
[홀수]:짝수	奇數
세계 [유일]	世界「唯一」
[일등] 국민.	「一等」國民
[일종]의 자유	「一種」自由
[절반] 이상	「一半」以上
[쌍]으로 묶다	成「對」
[양] 무릎	「雙」膝
[양]이 많다	「量「很大
[얼마간]의 돈	「幾分」錢
[하나하나] 세다	「一個個」數
[횟수]를 세다	數「次數」
